Class,x,y
C1,0.358466,0.390398
C1,0.370011,0.403105
C1,0.387072,0.391808
C1,0.381968,0.409868
C1,0.372588,0.409047
C1,0.377521,0.398234
C1,0.387287,0.40188
C1,0.376649,0.402011
C1,0.365425,0.420208
C1,0.372633,0.414749
C1,0.377661,0.424445
C1,0.38089,0.417162
C1,0.370656,0.427046
C1,0.383002,0.430603
C1,0.371515,0.426819
C1,0.375374,0.435913
C1,0.36399,0.433732
C1,0.376482,0.441403
C1,0.382627,0.433586
C1,0.366808,0.429947
C1,0.382388,0.4465
C1,0.381796,0.444152
C1,0.368808,0.451902
C1,0.387216,0.444625
C1,0.364835,0.471355
C1,0.385106,0.454909
C1,0.362908,0.462074
C1,0.377587,0.471586
C1,0.399161,0.460994
C1,0.366474,0.45451
C1,0.369748,0.455034
C1,0.379701,0.467071
C1,0.371373,0.480739
C1,0.365272,0.472918
C1,0.372192,0.482066
C1,0.374405,0.488773
C1,0.364088,0.485585
C1,0.37304,0.494163
C1,0.378064,0.487751
C1,0.377589,0.484206
C1,0.357219,0.500243
C1,0.385675,0.498753
C1,0.374945,0.509566
C1,0.376748,0.486154
C1,0.376012,0.520762
C1,0.383619,0.514478
C1,0.363935,0.52973
C1,0.369196,0.516033
C1,0.375141,0.522955
C1,0.368529,0.529684
C1,0.365393,0.513347
C1,0.372143,0.529816
C1,0.375019,0.535566
C1,0.381444,0.527945
C1,0.371372,0.549363
C1,0.389245,0.530133
C1,0.371414,0.546344
C1,0.375556,0.551918
C1,0.364248,0.557067
C1,0.38631,0.544395
C1,0.363238,0.539207
C1,0.373835,0.544629
C1,0.373964,0.565553
C1,0.370229,0.556038
C1,0.370337,0.550014
C1,0.376267,0.57376
C1,0.361307,0.58233
C1,0.357427,0.574378
C1,0.358465,0.578958
C1,0.353943,0.572978
C1,0.380298,0.5726
C1,0.37381,0.573698
C1,0.366423,0.550167
C1,0.370913,0.569761
C1,0.370074,0.568753
C1,0.372115,0.583577
C1,0.37456,0.579041
C1,0.357849,0.581927
C1,0.371073,0.581125
C1,0.377735,0.581674
C1,0.373416,0.587063
C1,0.380477,0.584088
C1,0.368754,0.592933
C1,0.365506,0.579509
C1,0.363548,0.587323
C1,0.371026,0.592621
C1,0.363974,0.581722
C1,0.363411,0.597078
C1,0.390421,0.573912
C1,0.366863,0.578212
C1,0.37063,0.580604
C1,0.370305,0.59329
C1,0.368388,0.585333
C1,0.368766,0.583813
C1,0.37656,0.603209
C1,0.374464,0.601754
C1,0.369379,0.607487
C1,0.370951,0.600769
C1,0.373023,0.583748
C1,0.366797,0.59276
C1,0.393332,0.58888
