Class,x,y
C1,0.15616,0.47556
C1,0.176617,0.475257
C1,0.182973,0.45916
C1,0.180758,0.469417
C1,0.159625,0.470914
C1,0.166163,0.476265
C1,0.166711,0.483793
C1,0.166215,0.474387
C1,0.14056,0.494017
C1,0.152483,0.518414
C1,0.169951,0.493757
C1,0.150072,0.505829
C1,0.163277,0.486616
C1,0.159928,0.517055
C1,0.158551,0.494767
C1,0.146968,0.516468
C1,0.158267,0.508047
C1,0.158559,0.505091
C1,0.173128,0.513801
C1,0.17013,0.51371
C1,0.142933,0.538635
C1,0.153866,0.576149
C1,0.162475,0.550548
C1,0.17851,0.554238
C1,0.142444,0.58088
C1,0.170245,0.61188
C1,0.160605,0.56852
C1,0.141728,0.547466
C1,0.138247,0.564022
C1,0.124002,0.587368
C1,0.124083,0.552382
C1,0.152403,0.582394
C1,0.169799,0.619104
C1,0.155708,0.577751
C1,0.160262,0.589365
C1,0.168022,0.587361
C1,0.180488,0.620003
C1,0.193469,0.625696
C1,0.15632,0.631118
C1,0.178526,0.586165
C1,0.173216,0.642697
C1,0.182797,0.613308
C1,0.173495,0.631329
C1,0.174838,0.608624
C1,0.182391,0.612733
C1,0.18913,0.629474
C1,0.148597,0.641777
C1,0.176177,0.651592
C1,0.179389,0.656105
C1,0.195993,0.649372
C1,0.180315,0.664154
C1,0.170661,0.636751
C1,0.194431,0.67547
C1,0.207232,0.689541
C1,0.174293,0.672353
C1,0.194374,0.672618
C1,0.224596,0.716116
C1,0.219795,0.711492
C1,0.19675,0.711896
C1,0.223067,0.717659
C1,0.190946,0.718075
C1,0.20091,0.709919
C1,0.227961,0.751618
C1,0.191188,0.728832
C1,0.222526,0.756249
C1,0.22499,0.760296
C1,0.241183,0.741045
C1,0.24046,0.743184
C1,0.235851,0.746493
C1,0.229514,0.757406
C1,0.245872,0.747096
C1,0.228057,0.756791
C1,0.253665,0.788885
C1,0.251144,0.757341
C1,0.250827,0.76796
C1,0.282547,0.784366
C1,0.285714,0.771239
C1,0.242975,0.780319
C1,0.280686,0.789033
C1,0.285541,0.80146
C1,0.293279,0.783116
C1,0.295839,0.767321
C1,0.282244,0.787304
C1,0.273802,0.78431
C1,0.303419,0.779146
C1,0.295991,0.780315
C1,0.298332,0.785001
C1,0.271368,0.781713
C1,0.321247,0.782352
C1,0.310517,0.783702
C1,0.333964,0.787102
C1,0.328108,0.775428
C1,0.338884,0.796073
C1,0.338323,0.787039
C1,0.352333,0.788962
C1,0.328635,0.807689
C1,0.337946,0.802142
C1,0.370894,0.778787
C1,0.341311,0.805345
C1,0.354696,0.787516
C1,0.37513,0.788123
C1,0.37856,0.78975
C1,0.366583,0.78815
C1,0.357596,0.805573
C1,0.373184,0.815808
C1,0.368064,0.813438
C1,0.399467,0.793704
C1,0.397025,0.798291
C1,0.413541,0.786162
C1,0.412052,0.819482
C1,0.424522,0.795302
C1,0.385853,0.790399
C1,0.430609,0.813172
C1,0.415313,0.789733
C1,0.425406,0.78371
C1,0.432861,0.794681
C1,0.434647,0.798292
C1,0.446241,0.79681
C1,0.408886,0.784739
C1,0.455067,0.813874
C1,0.466477,0.793064
C1,0.4628,0.844724
C1,0.494879,0.782796
C1,0.461758,0.811162
C1,0.453911,0.802089
C1,0.492004,0.806038
C1,0.474826,0.795502
C1,0.48014,0.807324
C1,0.510803,0.782923
C1,0.501998,0.779427
C1,0.526826,0.775388
C1,0.483921,0.776577
C1,0.507403,0.787238
C1,0.497663,0.775904
C1,0.476766,0.778421
C1,0.520148,0.781564
C1,0.534906,0.770869
C1,0.510086,0.781647
C1,0.536013,0.766285
C1,0.509492,0.79124
C1,0.505956,0.769784
C1,0.537556,0.746529
C1,0.542698,0.744742
C1,0.536265,0.751053
C1,0.536864,0.750768
C1,0.571668,0.736726
C1,0.543108,0.751407
C1,0.525655,0.77675
C1,0.564472,0.72595
C1,0.540889,0.746536
C1,0.545614,0.743091
C1,0.52788,0.761503
C1,0.582636,0.714667
C1,0.536711,0.71609
C1,0.591539,0.717047
C1,0.564241,0.721719
C1,0.568108,0.673148
C1,0.62171,0.709731
C1,0.580699,0.710957
C1,0.590233,0.689822
C1,0.599268,0.712831
C1,0.609336,0.686821
C1,0.594159,0.688639
C1,0.627541,0.68925
C1,0.598387,0.692858
C1,0.611487,0.691775
C1,0.605198,0.674924
C1,0.578507,0.706998
C1,0.632865,0.675905
C1,0.632626,0.654933
C1,0.620894,0.664581
C1,0.605068,0.680384
C1,0.648579,0.619877
C1,0.64085,0.619294
C1,0.632847,0.625286
C1,0.634973,0.629647
C1,0.664008,0.602522
C1,0.641825,0.619812
C1,0.652983,0.60235
C1,0.6366,0.636346
C1,0.641367,0.607514
C1,0.649383,0.595129
C1,0.627627,0.587143
C1,0.648461,0.581173
C1,0.64482,0.594589
C1,0.647422,0.563217
C1,0.680512,0.574347
C1,0.645016,0.550024
C1,0.630655,0.58834
C1,0.638403,0.559908
C1,0.659728,0.560262
C1,0.664139,0.560922
C1,0.686538,0.545202
C1,0.624304,0.535653
C1,0.638152,0.553945
C1,0.662841,0.518411
C1,0.677928,0.507669
C1,0.655182,0.472472
C1,0.660866,0.541922
C1,0.683303,0.523408
C1,0.643343,0.516454
C1,0.663359,0.514658
C1,0.659104,0.508433
C1,0.645823,0.523517
C1,0.67315,0.467087
C1,0.65897,0.508806
C1,0.651174,0.50444
C1,0.661629,0.492114
C1,0.696349,0.515138
C1,0.656852,0.508719
C1,0.693722,0.478688
C1,0.675118,0.480429
C1,0.651325,0.50002
C1,0.688986,0.523232
C1,0.670575,0.498924
C1,0.672931,0.504687
C1,0.652989,0.53214
C1,0.682206,0.525983
C1,0.669654,0.52347
C1,0.689909,0.53063
C1,0.664411,0.565127
C1,0.686677,0.573248
C1,0.691777,0.570787
C1,0.672274,0.573242
C1,0.653346,0.596698
C1,0.642011,0.615003
C1,0.663851,0.605694
C1,0.673858,0.631757
C1,0.6537,0.615413
C1,0.655657,0.627514
C1,0.651203,0.608072
C1,0.628014,0.624031
C1,0.674387,0.622424
C1,0.661997,0.617693
C1,0.658771,0.656373
C1,0.650086,0.602376
C1,0.649102,0.645204
C1,0.653211,0.664732
C1,0.665946,0.678543
C1,0.639562,0.671899
C1,0.64169,0.672143
C1,0.64958,0.663982
C1,0.657062,0.644709
C1,0.675022,0.674473
C1,0.644236,0.658757
C1,0.622106,0.680008
C1,0.653921,0.696237
C1,0.660931,0.679122
C1,0.635718,0.700527
C1,0.622741,0.706003
C1,0.66025,0.693274
C1,0.64485,0.701058
C1,0.629355,0.736732
C1,0.624033,0.731571
C1,0.648867,0.743093
C1,0.636624,0.723598
C1,0.614077,0.775412
C1,0.637326,0.754064
C1,0.614457,0.740443
C1,0.615223,0.754566
C1,0.609599,0.72738
C1,0.627577,0.73684
C1,0.606753,0.747435
C1,0.607553,0.762651
C1,0.598448,0.783702
C1,0.630988,0.780766
C1,0.594968,0.74796
C1,0.605001,0.745661
C1,0.586503,0.767536
C1,0.621758,0.748293
C1,0.57254,0.754307
C1,0.582014,0.748447
C1,0.586302,0.782084
C1,0.57102,0.773158
C1,0.558022,0.746452
C1,0.57086,0.798846
C1,0.544716,0.800532
C1,0.568506,0.811938
C1,0.543739,0.778188
C1,0.577844,0.795641
C1,0.53073,0.805535
C1,0.542424,0.797497
C1,0.541954,0.769362
C1,0.535151,0.792894
C1,0.535466,0.829895
C1,0.514837,0.812414
C1,0.534901,0.801132
C1,0.508198,0.795885
C1,0.482262,0.813042
C1,0.481251,0.807935
C1,0.462221,0.853411
C1,0.466064,0.798068
C1,0.445658,0.787019
C1,0.460405,0.829364
C1,0.442475,0.823321
C1,0.461699,0.837
C1,0.427652,0.82109
C1,0.419024,0.803413
C1,0.418605,0.8177
C1,0.438951,0.814679
C1,0.432388,0.818656
C1,0.380241,0.842364
C1,0.401204,0.845741
C1,0.396048,0.810418
C1,0.362458,0.82901
C1,0.366741,0.828035
C1,0.356199,0.801659
C1,0.339865,0.824433
C1,0.303769,0.796615
C1,0.30675,0.806185
C1,0.28383,0.805932
C1,0.307641,0.793774
C1,0.296332,0.798981
C1,0.285993,0.807314
C1,0.292981,0.802057
C1,0.282102,0.815141
C1,0.283516,0.804391
C1,0.277099,0.809683
C1,0.264561,0.794506
C1,0.245396,0.792132
C1,0.217545,0.774389
C1,0.233939,0.80901
C1,0.237497,0.790971
C1,0.233647,0.785086
C1,0.231072,0.775436
C1,0.247594,0.788162
C1,0.192222,0.80819
C1,0.205005,0.773616
C1,0.205027,0.771637
C1,0.196042,0.731132
C1,0.204946,0.779936
C1,0.165338,0.778255
C1,0.197085,0.745301
C1,0.180716,0.744949
C1,0.192598,0.756296
C1,0.184167,0.724449
C1,0.143897,0.751272
C1,0.187611,0.717179
C1,0.191696,0.714586
C1,0.19213,0.730661
C1,0.141507,0.693408
C1,0.171184,0.707929
C1,0.141214,0.723082
C1,0.168934,0.707086
C1,0.139301,0.658686
C1,0.12774,0.653365
C1,0.140402,0.641949
C1,0.131553,0.661933
C1,0.135743,0.632286
C1,0.141159,0.638594
C1,0.127832,0.628586
C1,0.126583,0.626676
C1,0.110364,0.612038
C1,0.113017,0.59777
