Class,x,y
C1,0.140867,0.898538
C1,0.0890204,0.907376
C1,0.110039,0.90244
C1,0.111857,0.889219
C1,0.104032,0.890339
C1,0.152035,0.914182
C1,0.0678656,0.89576
C1,0.125379,0.94264
C1,0.121975,0.90768
C1,0.136335,0.889209
C1,0.0822361,0.944948
C1,0.101995,0.921349
C1,0.135271,0.922363
C1,0.0922909,0.955958
C1,0.0708782,0.881605
C1,0.0754256,0.892571
C1,0.0859026,0.917907
C1,0.0906544,0.916993
C1,0.0831565,0.908291
C1,0.128851,0.895608
C1,0.0974295,0.934815
C1,0.0384471,0.928257
C1,0.137588,0.881296
C1,0.132457,0.87684
C1,0.185284,0.945685
C1,0.129029,0.864972
C1,0.147847,0.916557
C1,0.188597,0.873964
C1,0.113614,0.913854
C1,0.104033,0.886435
C1,0.142566,0.883549
C1,0.161758,0.882154
C1,0.0828048,0.951437
C1,0.192727,0.886453
C1,0.180378,0.906926
C1,0.133012,0.85991
C1,0.137817,0.93871
C1,0.181369,0.918736
C1,0.150828,0.931359
C1,0.169776,0.939114
C1,0.11958,0.890694
C1,0.16802,0.944047
C1,0.141032,0.900694
C1,0.139319,0.936895
C1,0.0992909,0.87848
C1,0.132822,0.960017
C1,0.141134,0.854142
C1,0.127522,0.899324
C1,0.152192,0.925127
C1,0.0610415,0.949435
C1,0.050278,0.891268
C1,0.123007,0.952508
C1,0.1312,0.94179
C1,0.113476,0.902702
C1,0.051937,0.850791
C1,0.102354,0.928398
C1,0.126004,0.853488
C1,0.120433,0.901645
C1,0.112392,0.950607
C1,0.0844859,0.90365
C1,0.0950797,0.914724
C1,0.116595,0.834517
C1,0.150487,0.918128
C1,0.136587,0.898343
C1,0.0828833,0.945461
C1,0.145669,0.846457
C1,0.0880129,0.918012
C1,0.114324,0.854592
C1,0.0955579,0.930749
C1,0.138897,0.937616
C1,0.126305,0.902704
C1,0.124048,0.928008
C2,0.483804,0.91294
C2,0.512516,0.920404
C2,0.506774,0.910341
C2,0.4749,0.956343
C2,0.439716,0.862609
C2,0.494427,0.887215
C2,0.517549,0.893246
C2,0.471779,0.871194
C2,0.451363,0.87022
C2,0.454407,0.840392
C2,0.473379,0.865193
C2,0.454845,0.893264
C2,0.433663,0.834967
C2,0.41091,0.881279
C2,0.436075,0.889375
C2,0.427746,0.876758
C2,0.387376,0.847648
C2,0.423692,0.840551
C2,0.456995,0.862387
C2,0.387549,0.856056
C2,0.445335,0.821123
C2,0.398657,0.860955
C2,0.369674,0.812787
C2,0.406063,0.863964
C2,0.417313,0.806557
C2,0.41274,0.828709
C2,0.450269,0.793976
C2,0.404519,0.841592
C2,0.426208,0.782946
C2,0.414919,0.790328
C2,0.420756,0.779986
C2,0.411098,0.804117
C2,0.434271,0.792881
C2,0.482549,0.751002
C2,0.407729,0.785268
C2,0.435206,0.771233
C2,0.469372,0.681479
C2,0.461197,0.75354
C2,0.433285,0.791438
C2,0.465838,0.759994
C2,0.460826,0.738924
C2,0.479561,0.7296
C2,0.435303,0.722192
C2,0.456856,0.746523
C2,0.481018,0.731711
C2,0.437004,0.73283
C2,0.468272,0.761927
C2,0.482036,0.715037
C2,0.495805,0.693991
C2,0.474633,0.746889
C2,0.428193,0.739871
C2,0.513165,0.739123
C2,0.529074,0.724311
C2,0.476919,0.724817
C2,0.492709,0.682367
C2,0.516756,0.698969
C2,0.468459,0.684931
C2,0.518217,0.684596
C2,0.511723,0.700701
C2,0.528628,0.69354
C2,0.538193,0.718848
C2,0.623332,0.734265
C2,0.585436,0.700335
C2,0.558787,0.663582
C2,0.607317,0.660999
C2,0.58675,0.695279
C2,0.567745,0.709928
C2,0.535781,0.750136
C2,0.59472,0.679913
C2,0.615911,0.743204
C2,0.529669,0.751447
C2,0.640421,0.674038
C2,0.632546,0.719962
C2,0.660363,0.638281
C2,0.650113,0.749525
C2,0.616277,0.696931
C2,0.637218,0.735807
C2,0.684819,0.740704
C2,0.674095,0.720921
C2,0.661232,0.700463
C2,0.693447,0.757148
C2,0.638879,0.731456
C2,0.616902,0.74588
C2,0.686756,0.740291
C2,0.671698,0.806163
C2,0.68828,0.739182
C2,0.628123,0.730905
C2,0.6246,0.728463
C2,0.672773,0.712374
C2,0.673714,0.776458
C2,0.670312,0.74098
C2,0.677739,0.778817
C2,0.721687,0.78721
C2,0.609704,0.730909
C2,0.665181,0.759295
C2,0.672602,0.775498
C2,0.733538,0.750861
C2,0.692,0.812507
C2,0.647215,0.80968
C2,0.654702,0.747272
C2,0.695056,0.789199
C2,0.73092,0.821566
C2,0.727967,0.78032
C2,0.712391,0.842438
C2,0.690438,0.798697
C2,0.718568,0.831235
C2,0.72531,0.852337
C2,0.717925,0.807168
C2,0.69149,0.850732
C2,0.702932,0.854743
C2,0.744515,0.75907
C2,0.643765,0.805656
C2,0.657402,0.859041
C2,0.645712,0.900277
C2,0.6728,0.850852
C2,0.684844,0.882115
C2,0.661763,0.878485
C2,0.690286,0.858284
C2,0.662046,0.896708
C2,0.670481,0.846497
C2,0.651279,0.851505
C2,0.702157,0.873509
C2,0.693645,0.866754
C2,0.672293,0.909357
C2,0.67791,0.888032
C2,0.686627,0.852729
C2,0.681186,0.90519
C2,0.717215,0.938296
C2,0.662578,0.933071
C2,0.63656,0.89264
C2,0.678099,0.875978
C2,0.644588,0.917282
C2,0.622156,0.920995
C2,0.657778,0.918677
C2,0.634402,0.936315
C2,0.634971,0.878901
C2,0.594103,0.948546
C2,0.592503,0.951366
C2,0.676196,0.894063
C2,0.644924,0.887692
C2,0.584985,0.921383
C2,0.592417,0.885745
C2,0.618474,0.914175
C2,0.589173,0.91883
C2,0.618895,0.902301
C2,0.582803,0.939396
C2,0.557859,0.959497
C2,0.571577,0.97261
C2,0.547976,0.941084
C2,0.559017,0.917155
C2,0.569091,0.921696
C2,0.564717,0.911453
C2,0.580377,0.881689
C2,0.568681,0.856486
C2,0.542965,0.940962
C2,0.516654,0.888377
C2,0.465395,0.90597
C2,0.469054,0.884144
C2,0.530058,0.854975
C2,0.513883,0.872962
C2,0.505007,0.906575
C2,0.451208,0.862665
C2,0.508773,0.911166
C2,0.434892,0.888474
C2,0.447709,0.866824
C2,0.493699,0.8686
C2,0.491029,0.887885
C2,0.472174,0.886818
C2,0.448493,0.901983
C2,0.409973,0.887533
C2,0.424653,0.884067
C2,0.454135,0.858363
C2,0.459972,0.828529
C2,0.466899,0.891269
C2,0.397869,0.874209
C2,0.420313,0.82929
C2,0.422238,0.836281
C2,0.397268,0.814707
C2,0.391137,0.798972
C2,0.449859,0.83691
C2,0.401658,0.825213
C2,0.403432,0.823655
C2,0.425685,0.781188
C2,0.425977,0.813126
C2,0.450378,0.753213
C2,0.436199,0.773853
C2,0.396025,0.752982
C2,0.39199,0.750254
C2,0.43637,0.712359
C2,0.470472,0.741643
C2,0.38725,0.767132
C2,0.463263,0.773909
C2,0.47494,0.72526
