Class,x,y
C1,0.219463,0.865755
C1,0.186048,0.796057
C1,0.200223,0.843277
C1,0.231146,0.816292
C1,0.194811,0.812869
C1,0.140026,0.735279
C1,0.142074,0.834415
C1,0.128726,0.773017
C1,0.129364,0.717727
C1,0.138196,0.741044
C1,0.0872375,0.773987
C1,0.179761,0.731157
C1,0.175676,0.718204
C1,0.142549,0.716308
C1,0.134218,0.722973
C1,0.0861987,0.709638
C1,0.135023,0.686418
C1,0.146033,0.657845
C1,0.109385,0.680798
C1,0.150777,0.711332
C1,0.163894,0.654352
C1,0.144978,0.690437
C1,0.212638,0.62939
C1,0.146908,0.637172
C1,0.178255,0.539074
C1,0.203755,0.622375
C1,0.191231,0.627613
C1,0.163866,0.562905
C1,0.265912,0.549005
C1,0.213078,0.568384
C1,0.225298,0.568312
C1,0.234478,0.525343
C1,0.247958,0.525403
C1,0.27246,0.640708
C1,0.198023,0.623999
C1,0.211758,0.635678
C1,0.265051,0.61573
C1,0.25793,0.613212
C1,0.23768,0.587825
C1,0.264708,0.612974
C1,0.342037,0.740223
C1,0.326938,0.707358
C1,0.271551,0.731505
C1,0.309208,0.727659
C1,0.375435,0.79313
C1,0.325565,0.785502
C1,0.320701,0.780186
C1,0.267567,0.801061
C1,0.344161,0.838452
C1,0.315878,0.782399
C1,0.338513,0.820126
C1,0.290905,0.817054
C1,0.30933,0.862955
C1,0.345251,0.843042
C1,0.325693,0.86308
C1,0.337853,0.8511
C1,0.351281,0.782561
C1,0.315213,0.835211
C1,0.317536,0.794888
C1,0.311501,0.836839
C1,0.267022,0.809105
C1,0.282986,0.760125
C1,0.270854,0.776485
C1,0.26238,0.776683
C1,0.243069,0.738064
C1,0.202486,0.75311
C1,0.225369,0.746554
C1,0.241559,0.780557
C1,0.235122,0.747078
C1,0.182915,0.767889
C1,0.243639,0.71893
C1,0.256414,0.712795
C1,0.22837,0.650846
C1,0.280084,0.655273
C1,0.223119,0.664718
C1,0.230357,0.649659
C1,0.243418,0.595219
C1,0.229662,0.604026
C1,0.223849,0.635366
C1,0.228105,0.624228
C1,0.277029,0.573422
C1,0.260172,0.613713
C1,0.264133,0.623017
C1,0.197964,0.576027
C1,0.28498,0.624929
C1,0.283529,0.564746
C1,0.311778,0.601623
C1,0.255463,0.60092
C1,0.316811,0.627967
C1,0.283211,0.615444
C1,0.345567,0.662511
C1,0.3132,0.612961
C1,0.354704,0.723858
C1,0.338996,0.680915
C1,0.319312,0.697662
C1,0.361605,0.678799
C1,0.388299,0.750432
C1,0.336867,0.741418
C1,0.347984,0.790495
C1,0.331458,0.783912
C1,0.336236,0.786556
C1,0.355802,0.804553
C1,0.310074,0.794812
C1,0.316159,0.855029
C1,0.287195,0.802726
C1,0.234833,0.814991
C1,0.299881,0.807621
C1,0.298616,0.765224
C1,0.244411,0.785473
C1,0.205477,0.778669
C1,0.228081,0.775608
C1,0.222616,0.785949
C1,0.165949,0.724783
C1,0.195908,0.760442
C1,0.148539,0.731587
C1,0.131302,0.715925
C1,0.131276,0.657617
C1,0.158802,0.651443
C1,0.188446,0.658785
C1,0.0890312,0.661609
C1,0.104745,0.570866
C1,0.173148,0.580776
C1,0.111932,0.531047
C1,0.147243,0.612168
C1,0.139063,0.522978
C1,0.141057,0.509635
C1,0.151211,0.509294
C1,0.129844,0.573643
C1,0.163836,0.532383
C1,0.196485,0.527591
C1,0.186617,0.549392
C1,0.174106,0.554081
C1,0.181942,0.511357
C1,0.150481,0.522911
C1,0.152141,0.513005
C1,0.175779,0.565931
C1,0.238188,0.539708
C1,0.213905,0.516937
C1,0.193965,0.555421
C1,0.22084,0.572344
C1,0.218725,0.553504
C1,0.254891,0.608062
C1,0.246256,0.61648
C1,0.242383,0.616984
C1,0.302826,0.638861
C1,0.32352,0.634499
C1,0.273713,0.645126
C1,0.314433,0.655612
C1,0.288779,0.72887
C1,0.306634,0.715917
C1,0.298606,0.69847
C1,0.258255,0.680676
C1,0.295527,0.748241
C1,0.262897,0.756486
C1,0.273943,0.705172
C1,0.277668,0.686056
C1,0.276282,0.736514
C1,0.247281,0.781025
C1,0.238303,0.67471
C1,0.244882,0.662315
C1,0.190309,0.653146
C1,0.202104,0.686892
C1,0.188421,0.754499
C1,0.227947,0.710309
C1,0.161892,0.657228
C1,0.171093,0.617849
C1,0.174662,0.639568
C1,0.145857,0.662685
C1,0.178764,0.58093
C1,0.163207,0.58093
C1,0.182463,0.625357
C1,0.203908,0.605469
C1,0.19799,0.572689
C1,0.169426,0.541548
C1,0.182411,0.563872
C1,0.178579,0.600917
C1,0.208034,0.495697
C1,0.258675,0.489647
C1,0.256954,0.577207
C1,0.187103,0.533813
C1,0.26567,0.500512
C1,0.271402,0.468043
C1,0.255343,0.538764
C1,0.260018,0.510271
C1,0.302513,0.561762
C1,0.318348,0.547351
C1,0.30832,0.549874
C1,0.268602,0.537808
C1,0.277057,0.564159
C1,0.329828,0.634045
C1,0.320477,0.565187
C1,0.313524,0.610179
C1,0.285069,0.62781
C1,0.28336,0.658463
C1,0.293781,0.580833
C1,0.335422,0.648832
C1,0.291576,0.663015
C1,0.297022,0.704062
C1,0.333429,0.706654
C1,0.361788,0.703998
C1,0.278905,0.766259
C1,0.316374,0.719987
C1,0.301921,0.712545
C1,0.281251,0.757888
C1,0.298436,0.770782
C1,0.308301,0.767158
C1,0.336198,0.759606
C1,0.272212,0.741664
C1,0.306701,0.780425
C1,0.262889,0.789663
C1,0.299864,0.811339
C1,0.274277,0.796164
C1,0.295157,0.806096
C1,0.318699,0.840333
C1,0.239334,0.768406
C1,0.274613,0.800108
C1,0.223504,0.782007
C1,0.242399,0.784635
C1,0.270808,0.730628
C1,0.235707,0.725619
C1,0.180852,0.716369
C1,0.21814,0.700663
C1,0.176294,0.709944
C1,0.227069,0.71837
C1,0.154682,0.633497
C1,0.194649,0.600383
C1,0.20712,0.633348
C1,0.167556,0.663166
C1,0.167243,0.602436
C1,0.165538,0.619792
C1,0.129046,0.501018
C1,0.150991,0.583767
C1,0.165339,0.481576
C1,0.132475,0.537578
C1,0.164125,0.499589
C1,0.18378,0.487051
C1,0.164296,0.523826
C1,0.218993,0.479128
C1,0.215493,0.478075
C1,0.165961,0.551755
C1,0.21542,0.456362
C1,0.223639,0.537014
C1,0.266522,0.523076
C1,0.207582,0.514288
C1,0.260242,0.521649
C1,0.281578,0.532973
C1,0.270783,0.491098
C1,0.296811,0.485211
C1,0.305251,0.498489
C1,0.292628,0.555237
C1,0.298507,0.495927
C1,0.333077,0.539223
C1,0.272448,0.563334
C1,0.352099,0.533714
C1,0.32573,0.570478
C1,0.309414,0.522892
C1,0.351811,0.516748
C1,0.276279,0.552703
C1,0.296672,0.535512
C1,0.37858,0.538018
C1,0.352678,0.669827
C1,0.359821,0.663226
C1,0.352029,0.605969
C1,0.360809,0.64715
C1,0.419366,0.698503
C1,0.358094,0.728134
C1,0.369584,0.617569
C1,0.366139,0.723297
C1,0.418122,0.717878
C1,0.394006,0.707006
C1,0.363149,0.730217
C1,0.420634,0.751571
C1,0.363473,0.761339
C1,0.391512,0.756138
C1,0.348874,0.761578
C1,0.407145,0.762974
C1,0.401323,0.739195
C1,0.364106,0.788078
C1,0.407369,0.807877
C1,0.364159,0.804213
C1,0.386233,0.793361
C1,0.369738,0.825296
C1,0.344484,0.723972
C1,0.354508,0.788177
C1,0.335533,0.798937
C1,0.316832,0.82435
C1,0.335198,0.838844
C1,0.358074,0.786357
C1,0.297918,0.856032
C1,0.273464,0.774184
C1,0.236008,0.794804
C1,0.304574,0.828359
C1,0.261786,0.770012
C1,0.299866,0.805767
C1,0.307439,0.817219
C1,0.254105,0.769195
C1,0.216238,0.79807
C1,0.185735,0.765378
C1,0.191316,0.803364
C1,0.222221,0.810911
C1,0.147281,0.711035
C1,0.167425,0.670873
C1,0.176351,0.715034
C1,0.212096,0.695636
C1,0.181912,0.629315
C1,0.145212,0.622396
C1,0.132916,0.622341
C1,0.144869,0.631323
C1,0.168233,0.571429
C1,0.178942,0.51162
C1,0.14853,0.566751
C1,0.172726,0.521393
C1,0.167654,0.506844
C1,0.157199,0.520712
C1,0.178825,0.495653
C1,0.178758,0.524906
C1,0.122013,0.453378
C1,0.204964,0.490493
C1,0.174097,0.481879
C1,0.203329,0.480146
C1,0.30192,0.468368
C1,0.260489,0.476437
C1,0.277306,0.445463
C1,0.226446,0.436098
C1,0.285746,0.472247
C1,0.288796,0.470832
C1,0.320532,0.442417
C1,0.278525,0.420171
C1,0.385979,0.50753
C1,0.332133,0.492657
C1,0.396913,0.483985
C1,0.379433,0.485768
C1,0.417071,0.525278
C1,0.368756,0.56268
C1,0.424269,0.5717
C1,0.4128,0.520365
C1,0.421988,0.585039
C1,0.413932,0.580378
C1,0.441455,0.573017
C1,0.392636,0.592735
C1,0.444986,0.642748
C1,0.498908,0.595097
C1,0.465122,0.602977
C1,0.408554,0.604051
C1,0.424114,0.713658
C1,0.42389,0.66844
C1,0.449914,0.657897
C1,0.423454,0.740812
C1,0.438196,0.771219
C1,0.432207,0.737619
C1,0.44199,0.732916
C1,0.419989,0.745002
C2,0.6768,0.804512
C2,0.728224,0.802764
C2,0.697617,0.75551
C2,0.675858,0.796229
C2,0.584435,0.772508
C2,0.62588,0.780993
C2,0.615498,0.778325
C2,0.61967,0.750546
C2,0.599202,0.802491
C2,0.599128,0.739869
C2,0.590213,0.790997
C2,0.585121,0.740857
C2,0.582132,0.791612
C2,0.571014,0.739473
C2,0.583484,0.763366
C2,0.590228,0.815044
C2,0.594904,0.735126
C2,0.596807,0.686046
C2,0.571222,0.756976
C2,0.524999,0.737727
C2,0.631132,0.730476
C2,0.61816,0.696351
C2,0.641717,0.678652
C2,0.60256,0.654132
C2,0.646076,0.603173
C2,0.665131,0.632173
C2,0.610544,0.631931
C2,0.670805,0.657427
C2,0.671417,0.640003
C2,0.673422,0.615714
C2,0.696011,0.609846
C2,0.702374,0.656986
C2,0.776252,0.583235
C2,0.773349,0.558724
C2,0.758377,0.567256
C2,0.783297,0.581974
C2,0.793397,0.562184
C2,0.825776,0.549047
C2,0.818014,0.559959
C2,0.860969,0.552778
C2,0.867207,0.576133
C2,0.895722,0.601524
C2,0.880065,0.565071
C2,0.838269,0.562958
C2,0.854043,0.626212
C2,0.907933,0.628309
C2,0.864471,0.648502
C2,0.890111,0.650228
C2,0.812732,0.700709
C2,0.863996,0.689265
C2,0.88385,0.682086
C2,0.849416,0.650451
C2,0.894899,0.749286
C2,0.84397,0.72551
C2,0.850826,0.712555
C2,0.840925,0.748179
C2,0.801899,0.805177
C2,0.783715,0.781447
C2,0.786952,0.760842
C2,0.738483,0.751207
C2,0.660944,0.755081
C2,0.685173,0.838684
C2,0.700954,0.792221
C2,0.682108,0.792258
C2,0.596386,0.788779
C2,0.593355,0.759086
C2,0.591738,0.828224
C2,0.629357,0.770018
C2,0.558162,0.77797
C2,0.549145,0.750194
C2,0.546366,0.715751
C2,0.565627,0.764866
C2,0.597913,0.691246
C2,0.520601,0.70525
C2,0.555928,0.726241
C2,0.561171,0.724382
C2,0.556975,0.653548
C2,0.52885,0.666106
C2,0.508735,0.668232
C2,0.553212,0.673818
C2,0.546733,0.625478
C2,0.577325,0.64291
C2,0.599587,0.628131
C2,0.599974,0.59235
C2,0.600102,0.62969
C2,0.664498,0.635503
C2,0.58165,0.618017
C2,0.619743,0.609852
C2,0.670652,0.615252
C2,0.643095,0.614786
C2,0.696978,0.589854
C2,0.624681,0.597237
C2,0.735182,0.559039
C2,0.772377,0.567077
C2,0.799627,0.576884
C2,0.754254,0.569656
C2,0.857065,0.611701
C2,0.78862,0.617836
C2,0.835157,0.586198
C2,0.832759,0.596712
C2,0.815256,0.631114
C2,0.841783,0.665804
C2,0.824056,0.66311
C2,0.793775,0.664725
C2,0.799098,0.696606
C2,0.819228,0.667851
C2,0.783426,0.673115
C2,0.830768,0.71167
C2,0.768545,0.751425
C2,0.73048,0.786572
C2,0.792738,0.818806
C2,0.709004,0.80185
C2,0.64727,0.82683
C2,0.653665,0.823687
C2,0.683142,0.861956
