Class,x,y
C1,0.542391,0.583211
C1,0.530127,0.53366
C1,0.464313,0.553884
C1,0.565184,0.540829
C1,0.418527,0.594332
C1,0.502174,0.522215
C1,0.472035,0.619645
C1,0.517519,0.565801
C1,0.471068,0.616834
C1,0.506319,0.662665
C1,0.463707,0.681532
C1,0.503082,0.670547
C1,0.466595,0.721477
C1,0.455782,0.712247
C1,0.473423,0.737767
C1,0.487759,0.774644
C1,0.594546,0.752768
C1,0.568263,0.702927
C1,0.467596,0.732747
C1,0.602746,0.745689
C1,0.469571,0.752926
C1,0.543081,0.781509
C1,0.645437,0.766165
C1,0.561947,0.779773
C1,0.655197,0.810883
C1,0.609945,0.800054
C1,0.674906,0.74213
C1,0.685648,0.872145
C1,0.656703,0.786621
C1,0.666339,0.819211
C1,0.646013,0.832738
C1,0.694244,0.848903
C1,0.668597,0.756793
C1,0.713166,0.761182
C1,0.759252,0.653885
C1,0.622733,0.740712
C1,0.738725,0.71512
C1,0.687207,0.639711
C1,0.720132,0.591047
C1,0.72062,0.664026
C1,0.618247,0.603211
C1,0.662926,0.652267
C1,0.575725,0.551731
C1,0.555197,0.597396
C1,0.574982,0.558069
C1,0.567971,0.540708
C1,0.557754,0.586992
C1,0.541416,0.647091
C1,0.618731,0.569629
C1,0.620154,0.537853
C1,0.624107,0.590566
C1,0.680457,0.57309
C1,0.742852,0.822186
C1,0.694779,0.667472
C1,0.808153,0.684627
C1,0.700615,0.690392
C1,0.739755,0.786701
C1,0.744281,0.793805
C1,0.823142,0.841775
C1,0.73345,0.795499
C1,0.727404,0.81985
C1,0.751465,0.760754
C1,0.708041,0.774389
C1,0.756154,0.814046
C1,0.732817,0.778975
C1,0.638119,0.825736
C1,0.659021,0.822674
C1,0.604676,0.836447
C1,0.647574,0.787284
C1,0.557839,0.81524
C1,0.609899,0.840601
C1,0.541114,0.882356
C1,0.494315,0.825211
C1,0.535963,0.81831
C1,0.607299,0.8031
C1,0.504491,0.78756
C1,0.545135,0.733897
C1,0.540832,0.683167
C1,0.539785,0.737829
C1,0.491519,0.735838
C1,0.481437,0.674087
C1,0.478273,0.661944
C1,0.472445,0.604483
C1,0.508088,0.682609
C1,0.538076,0.642213
C1,0.540595,0.761596
C1,0.663752,0.688937
C1,0.624551,0.751086
C1,0.655252,0.713679
C1,0.601441,0.687463
C1,0.699238,0.746695
C1,0.71424,0.677354
C2,0.606554,0.563537
C2,0.550381,0.540586
C2,0.559799,0.50977
C2,0.603244,0.421902
C2,0.576735,0.452058
C2,0.524012,0.470183
C2,0.613431,0.498053
C2,0.688182,0.527675
C2,0.713899,0.60525
C2,0.649723,0.597637
C2,0.70664,0.609981
C2,0.733651,0.583746
C2,0.796696,0.615244
C2,0.735267,0.667424
C2,0.788835,0.610584
C2,0.792947,0.64875
C2,0.845768,0.600817
C2,0.805462,0.57965
C2,0.8371,0.610578
C2,0.836703,0.604311
C2,0.892312,0.545823
C2,0.886372,0.595305
C2,0.817937,0.58075
C2,0.912233,0.604557
C2,0.911512,0.529557
C2,0.859341,0.562859
C2,0.872213,0.486194
C2,0.899978,0.513829
C2,0.821432,0.441219
C2,0.853636,0.417858
C2,0.857976,0.342721
C2,0.734968,0.499319
C2,0.829175,0.46252
C2,0.810824,0.458449
C2,0.729996,0.421246
C2,0.774872,0.413088
C2,0.652289,0.420493
C2,0.627699,0.424972
C2,0.628207,0.404401
C2,0.645917,0.426236
C2,0.562658,0.461752
C2,0.625532,0.482845
C2,0.59285,0.484759
C2,0.624113,0.42653
C2,0.549704,0.5012
C2,0.566141,0.402972
C2,0.616881,0.456373
C2,0.656668,0.430611
C2,0.65387,0.389121
C2,0.609622,0.48069
C2,0.72872,0.472511
C2,0.729179,0.537243
C2,0.766983,0.445795
C2,0.761019,0.405352
C2,0.72996,0.500105
C2,0.835673,0.46334
C2,0.789413,0.417334
C2,0.801421,0.406414
C2,0.87954,0.413628
C2,0.840332,0.452369
C2,0.838103,0.367283
C2,0.833772,0.418282
C2,0.755317,0.354534
C2,0.878883,0.367944
C2,0.828392,0.336051
C2,0.784959,0.348538
C2,0.796702,0.381359
C2,0.731992,0.345125
C2,0.646135,0.317585
C2,0.66947,0.319339
C2,0.602777,0.368975
C2,0.561946,0.353362
C2,0.535689,0.369151
C2,0.495123,0.406039
C2,0.505657,0.433604
C2,0.531632,0.345761
C2,0.582403,0.426959
C2,0.578674,0.369407
C2,0.538631,0.384243
C2,0.578477,0.456207
C2,0.515036,0.452197
C2,0.609059,0.449262
C2,0.613903,0.517473
C2,0.630761,0.498947
C2,0.557646,0.52706
C2,0.586372,0.44266
C2,0.721615,0.454896
C2,0.682783,0.538297
C2,0.807204,0.533943
C2,0.831142,0.49675
C2,0.822392,0.536033
C2,0.838687,0.505422
C2,0.835019,0.479105
C2,0.809941,0.475949
C2,0.877641,0.482537
C2,0.858724,0.558061
C3,0.739709,0.251973
C3,0.727975,0.286346
C3,0.58396,0.269084
C3,0.702399,0.318796
C3,0.585927,0.29145
C3,0.631517,0.353567
C3,0.525735,0.310106
C3,0.524462,0.397063
C3,0.513434,0.308479
C3,0.438843,0.353652
C3,0.538036,0.325202
C3,0.402661,0.373795
C3,0.404464,0.334876
C3,0.438298,0.330967
C3,0.46036,0.372565
C3,0.508954,0.371828
C3,0.371686,0.428571
C3,0.436805,0.391733
C3,0.431448,0.221055
C3,0.481857,0.251708
C3,0.564235,0.211972
C3,0.41737,0.262075
C3,0.491621,0.253466
C3,0.521683,0.172971
C3,0.588737,0.146074
C3,0.550204,0.194491
C3,0.553712,0.145514
C3,0.623084,0.0777372
C3,0.68219,0.190864
C3,0.697764,0.137269
C3,0.721802,0.145412
C3,0.762128,0.20983
C3,0.655311,0.164022
C3,0.734886,0.208621
C3,0.755019,0.196912
C3,0.723803,0.154545
C3,0.70349,0.245858
C3,0.736893,0.127264
C3,0.698183,0.283844
C3,0.72443,0.208541
C3,0.610026,0.354587
C3,0.589999,0.320693
C3,0.631899,0.320829
C3,0.685548,0.293193
C3,0.694932,0.374861
C3,0.609781,0.2986
C3,0.476281,0.383499
C3,0.507329,0.345936
C3,0.551373,0.367089
C3,0.446494,0.344479
C3,0.401769,0.352169
C3,0.515512,0.295658
C3,0.446368,0.302491
C3,0.479963,0.266389
C3,0.43697,0.292272
C3,0.440576,0.272292
C3,0.401915,0.152715
C3,0.452008,0.203093
C3,0.427962,0.162251
C3,0.399793,0.158075
C3,0.50022,0.157938
C3,0.505945,0.146186
C3,0.461614,0.160418
C3,0.474945,0.104228
C3,0.445802,0.0502486
C3,0.601352,0.0793726
C3,0.539752,0.142841
C3,0.589843,0.163367
C4,0.289776,0.201046
C4,0.211921,0.23459
C4,0.290014,0.282776
C4,0.215164,0.169098
C4,0.301755,0.200591
C4,0.32171,0.240464
C4,0.360572,0.322068
C4,0.312055,0.301598
C4,0.397293,0.382268
C4,0.368305,0.362192
C4,0.397065,0.391069
C4,0.348686,0.406882
C4,0.381499,0.390155
C4,0.402053,0.397337
C4,0.391293,0.449952
C4,0.334627,0.409506
C4,0.356117,0.425556
C4,0.394554,0.402194
C4,0.27792,0.442428
C4,0.243759,0.454198
C4,0.217679,0.438774
C4,0.171958,0.417297
C4,0.148346,0.467061
C4,0.116589,0.436676
C4,0.270446,0.382418
C4,0.192584,0.414183
C4,0.110491,0.376291
C4,0.0832065,0.325416
C4,0.141615,0.224017
C4,0.117826,0.282869
C4,0.0814887,0.313384
C4,0.0525869,0.244743
C4,0.150069,0.235808
C4,0.155797,0.263443
C4,0.212695,0.249834
C4,0.184932,0.230953
C4,0.204024,0.302694
C4,0.167958,0.258554
C4,0.294191,0.266643
C4,0.298378,0.332141
C4,0.259504,0.302883
C4,0.267079,0.367049
C4,0.326294,0.438672
C4,0.322774,0.397581
C4,0.325309,0.410068
C4,0.309025,0.40139
C4,0.278549,0.423415
C4,0.240188,0.423599
C4,0.266329,0.436162
C4,0.253036,0.378858
C4,0.235375,0.419671
C4,0.249916,0.412535
C4,0.163371,0.361922
C4,0.285731,0.379004
C4,0.165065,0.302595
C4,0.137414,0.326172
C4,0.189789,0.284053
C4,0.122452,0.240737
C4,0.187319,0.225375
C4,0.185523,0.293676
C4,0.276729,0.208106
C4,0.24347,0.293476
C4,0.42099,0.261862
C4,0.344223,0.352633
C4,0.439725,0.343514
C4,0.404709,0.36387
C4,0.470522,0.424034
C4,0.437991,0.396064
C4,0.392657,0.432466
C4,0.429722,0.394171
C4,0.463291,0.453816
C4,0.310029,0.45373
C4,0.394478,0.437973
C4,0.378117,0.475328
C4,0.464364,0.459122
C4,0.350084,0.433478
C4,0.327159,0.517339
C4,0.303919,0.455816
C4,0.250695,0.409372
C4,0.269772,0.470733
C5,0.0684617,0.733738
C5,0.0819684,0.679089
C5,0.0525247,0.669918
C5,0.0756069,0.612221
C5,0.181455,0.597353
C5,0.147352,0.602402
C5,0.153673,0.522752
C5,0.193479,0.517451
C5,0.204134,0.488111
C5,0.311688,0.476135
C5,0.295036,0.440284
C5,0.354617,0.498212
C5,0.36479,0.534641
C5,0.424097,0.491767
C5,0.418007,0.505183
C5,0.401003,0.504573
C5,0.367005,0.535202
C5,0.405873,0.465231
C5,0.342559,0.562832
C5,0.333748,0.542911
C5,0.276018,0.569932
C5,0.303535,0.610388
C5,0.33492,0.668611
C5,0.269022,0.64262
C5,0.28913,0.561993
C5,0.250665,0.667092
C5,0.161305,0.604277
C5,0.204211,0.615412
C5,0.100157,0.675234
C5,0.142443,0.639998
C5,0.104618,0.644696
C5,0.0308774,0.669008
C5,0.0472412,0.576505
C5,0.143081,0.634393
C5,0.0312377,0.592056
C5,0.0520508,0.525938
C5,0.0942301,0.55351
C5,0.00328503,0.516613
C5,0.0283404,0.49785
C5,0.0234848,0.510652
C5,0.113455,0.557599
C5,0.0900925,0.497757
C5,0.138776,0.548627
C5,0.151505,0.540575
C5,0.188311,0.514877
C5,0.222289,0.555119
C5,0.34478,0.476179
C5,0.24624,0.530996
C5,0.271732,0.45692
C5,0.226583,0.563673
C5,0.274549,0.56918
C5,0.249326,0.511485
C5,0.232553,0.607678
C5,0.247719,0.607992
C5,0.172404,0.654424
C5,0.199093,0.613933
C5,0.137478,0.618961
C5,0.176461,0.628359
C5,0.103952,0.658112
C5,0.111075,0.703278
C5,0.027429,0.707513
C5,0.068621,0.73896
C5,0.0127867,0.696512
C5,0.105198,0.681191
C5,0.0537785,0.688891
C5,0.0955813,0.648271
C5,0.049463,0.702756
C5,0.10768,0.636996
C5,0.0854177,0.72013
C5,0.126284,0.632235
C5,0.173678,0.552172
C5,0.152391,0.577414
C5,0.235457,0.53401
C5,0.168931,0.542006
C5,0.40301,0.493506
C5,0.332882,0.43103
C5,0.434739,0.464868
C5,0.421595,0.48312
C5,0.381623,0.508103
C5,0.357397,0.474257
C5,0.362643,0.506452
C5,0.438651,0.521853
C5,0.431117,0.588811
C5,0.337884,0.498692
C6,0.241859,0.847688
C6,0.210821,0.829667
C6,0.181572,0.772699
C6,0.176866,0.824118
C6,0.208341,0.752506
C6,0.236913,0.74953
C6,0.23444,0.737278
C6,0.284128,0.705154
C6,0.200502,0.684638
C6,0.231489,0.686838
C6,0.310292,0.717601
C6,0.221118,0.659763
C6,0.363834,0.627869
C6,0.399804,0.682674
C6,0.464772,0.614122
C6,0.438289,0.631697
C6,0.425259,0.629254
C6,0.350333,0.611076
C6,0.406125,0.681522
C6,0.464818,0.572415
C6,0.438299,0.701668
C6,0.455114,0.597961
C6,0.428722,0.727577
C6,0.44122,0.668322
C6,0.444098,0.812881
C6,0.45382,0.782622
C6,0.370174,0.890616
C6,0.46824,0.78738
C6,0.405576,0.80211
C6,0.400111,0.944879
C6,0.437608,0.842073
C6,0.397862,0.862831
C6,0.343346,0.861434
C6,0.346341,0.864639
C6,0.316474,0.865995
C6,0.322801,0.846993
C6,0.278791,0.876253
C6,0.298171,0.7972
C6,0.292546,0.703329
C6,0.299172,0.734692
C6,0.371998,0.729718
C6,0.389095,0.690343
C6,0.319955,0.642405
C6,0.340552,0.651385
C6,0.390763,0.664608
C6,0.354189,0.660353
C6,0.35739,0.603564
C6,0.404353,0.702649
C6,0.418693,0.701961
C6,0.348747,0.683217
C6,0.371623,0.796442
C6,0.241865,0.781785
C6,0.333082,0.836676
C6,0.352137,0.87545
C6,0.310594,0.79827
C6,0.201996,0.864374
C6,0.203368,0.850798
C6,0.234543,0.785813
C6,0.206036,0.824191
C6,0.173752,0.786191
C6,0.0980156,0.800225
C6,0.131871,0.83991
C1,0.577736,0.700662
C1,0.574125,0.702967
C1,0.572019,0.708718
C1,0.567585,0.710241
C1,0.559569,0.684069
C1,0.565062,0.711548
C1,0.555661,0.668051
C1,0.586192,0.684913
C1,0.567306,0.638398
C1,0.570215,0.653129
C1,0.565047,0.67503
C1,0.542624,0.662304
C1,0.581298,0.651892
C1,0.577833,0.651097
C1,0.586896,0.669246
C1,0.560487,0.667181
C1,0.581675,0.675115
C1,0.596097,0.631657
C1,0.56866,0.639624
C1,0.571383,0.642017
C1,0.619611,0.654704
C1,0.580927,0.665639
C1,0.609959,0.666172
C1,0.577081,0.66741
C1,0.622839,0.698011
C1,0.630041,0.671652
C1,0.60899,0.666521
C1,0.651451,0.694575
C1,0.641027,0.707628
C1,0.615344,0.697676
C1,0.653226,0.7012
C1,0.615165,0.698504
C1,0.618631,0.698939
C1,0.637183,0.708608
C1,0.637236,0.712244
C1,0.632064,0.70382
C1,0.628599,0.707561
C1,0.625255,0.730796
C1,0.63227,0.733258
C1,0.62615,0.719478
C1,0.623563,0.722819
C1,0.659208,0.759482
C1,0.630001,0.720983
C1,0.63055,0.737175
C1,0.582333,0.719186
C1,0.622026,0.743012
C1,0.607881,0.728792
C1,0.609932,0.70514
C1,0.578812,0.707164
C1,0.596866,0.705589
C1,0.608593,0.708732
C1,0.591081,0.710021
C1,0.592758,0.68052
C1,0.572414,0.673263
C1,0.57541,0.678244
C1,0.595152,0.681392
C1,0.610415,0.636645
C1,0.592974,0.660476
C1,0.586201,0.67111
C1,0.566207,0.664305
C1,0.574457,0.663335
C1,0.578423,0.656195
C1,0.584181,0.621548
C1,0.583077,0.665402
C1,0.622835,0.666111
C1,0.614402,0.658158
C1,0.596724,0.654692
C1,0.597678,0.668169
C1,0.641751,0.687247
C1,0.651272,0.688357
C1,0.63204,0.6907
C1,0.639421,0.674787
C1,0.619495,0.713222
C1,0.647274,0.713977
C1,0.627859,0.720631
C1,0.623604,0.728931
C1,0.624516,0.705051
C1,0.624344,0.719777
C1,0.617656,0.735308
C1,0.634991,0.708662
C1,0.646409,0.742987
C1,0.631173,0.71012
C1,0.632894,0.7108
C1,0.606572,0.722372
C1,0.61076,0.729764
C1,0.590542,0.712931
C1,0.613654,0.706049
C1,0.596961,0.708127
C1,0.555983,0.695107
C1,0.581905,0.677216
C1,0.573039,0.703874
C1,0.552771,0.694985
C1,0.564261,0.648074
C1,0.549076,0.657123
C1,0.548552,0.657027
C1,0.579123,0.642288
C1,0.536155,0.619497
C1,0.534253,0.650579
C1,0.54228,0.655265
C1,0.533488,0.635868
C1,0.551008,0.64211
C1,0.561184,0.624151
C1,0.544909,0.63647
C1,0.57251,0.646751
C1,0.578382,0.653582
C1,0.594386,0.658992
C1,0.589484,0.65278
C1,0.576466,0.639476
C1,0.601182,0.674705
C1,0.607532,0.669881
C1,0.613599,0.674601
C1,0.611279,0.688051
C1,0.627647,0.698952
C1,0.650175,0.70864
C1,0.632846,0.704038
C1,0.629575,0.703382
C1,0.64282,0.73794
C1,0.657565,0.747257
C1,0.647007,0.746675
C1,0.650069,0.729616
C1,0.657431,0.73084
C1,0.641979,0.758942
C1,0.649764,0.751734
C1,0.654321,0.735183
C1,0.652158,0.76123
C1,0.669296,0.734075
C1,0.644801,0.751967
C1,0.642877,0.762886
C1,0.619202,0.764866
C1,0.620676,0.769336
C1,0.611268,0.763199
C1,0.621157,0.76512
C1,0.60013,0.741846
C1,0.581123,0.735886
C1,0.623476,0.7335
C1,0.60847,0.749153
C1,0.583483,0.737547
C1,0.571203,0.708109
C1,0.5848,0.70229
C1,0.582787,0.714749
C1,0.573108,0.703143
C1,0.557739,0.715546
C1,0.581623,0.698956
C1,0.582798,0.705747
C1,0.570039,0.69051
C1,0.552017,0.688227
C1,0.575665,0.676347
C1,0.589776,0.685451
C1,0.61855,0.670382
C1,0.590121,0.690885
C1,0.585091,0.687366
C1,0.593205,0.662611
C1,0.630219,0.721966
C1,0.602364,0.720359
C1,0.597774,0.699002
C1,0.615596,0.692886
C1,0.624856,0.714411
C1,0.587585,0.728402
C1,0.621861,0.700564
C1,0.618931,0.725581
C1,0.603163,0.721275
C1,0.606387,0.743051
C1,0.620573,0.726006
C1,0.612845,0.744526
C1,0.587757,0.751334
C1,0.576839,0.698562
C1,0.570891,0.726859
C1,0.555265,0.727769
C1,0.563205,0.707742
C1,0.561661,0.678409
C1,0.565739,0.677715
C1,0.546389,0.690814
C1,0.543845,0.683534
C1,0.572277,0.6949
C1,0.545335,0.669186
C1,0.531374,0.662636
C1,0.547725,0.636983
C1,0.555446,0.662179
C1,0.553948,0.637691
C1,0.554553,0.655697
C1,0.541968,0.644714
C1,0.553835,0.617841
C1,0.537221,0.634784
C1,0.544355,0.640939
C1,0.569384,0.624342
C1,0.582754,0.639199
C1,0.584397,0.649496
C1,0.581715,0.632427
C1,0.59305,0.657084
C1,0.602517,0.649937
C1,0.596661,0.655977
C1,0.596718,0.654258
C1,0.635174,0.644666
C1,0.630117,0.706703
C1,0.606527,0.635725
C1,0.632318,0.680384
C1,0.662145,0.685567
C1,0.66044,0.688169
C1,0.629032,0.682409
C1,0.64341,0.671258
C1,0.653875,0.717816
C1,0.647377,0.703212
C1,0.667131,0.699795
C1,0.666431,0.683452
C1,0.659968,0.728453
C1,0.663199,0.694704
C1,0.647156,0.685843
C1,0.691909,0.717729
C1,0.645727,0.739274
C1,0.646578,0.727213
C1,0.666324,0.735401
C1,0.674503,0.724432
C1,0.6432,0.75149
C1,0.646283,0.744005
C1,0.62971,0.718971
C1,0.647864,0.745087
C1,0.631042,0.730041
C1,0.620918,0.743372
C1,0.617292,0.744527
C1,0.651423,0.747529
C1,0.642529,0.730172
C1,0.645924,0.735021
C1,0.631354,0.748361
C1,0.613897,0.736421
C2,0.722467,0.541322
C2,0.732814,0.534164
C2,0.730684,0.521089
C2,0.719139,0.532394
C2,0.726067,0.503363
C2,0.714759,0.519662
C2,0.708825,0.499147
C2,0.702256,0.521937
C2,0.68855,0.518546
C2,0.689135,0.544048
C2,0.710978,0.533274
C2,0.706648,0.522881
C2,0.683637,0.511466
C2,0.686445,0.499505
C2,0.697168,0.527116
C2,0.683805,0.480203
C2,0.702801,0.482875
C2,0.672035,0.477726
C2,0.689218,0.465307
C2,0.698487,0.494501
C2,0.682388,0.479671
C2,0.694346,0.480772
C2,0.704749,0.462231
C2,0.702267,0.476851
C2,0.694023,0.451959
C2,0.69719,0.428288
C2,0.703904,0.443031
C2,0.706085,0.458776
C2,0.732932,0.45478
C2,0.731443,0.454294
C2,0.720777,0.488909
C2,0.751326,0.440114
C2,0.778055,0.442158
C2,0.774246,0.447944
C2,0.754999,0.446433
C2,0.78087,0.47178
C2,0.804923,0.466778
C2,0.779457,0.430042
C2,0.798957,0.464304
C2,0.786653,0.437715
C2,0.782268,0.484775
C2,0.81356,0.464613
C2,0.813145,0.469473
C2,0.809699,0.459194
C2,0.78635,0.506755
C2,0.784988,0.508032
C2,0.801879,0.504208
C2,0.776157,0.497691
C2,0.766395,0.52461
C2,0.74631,0.501714
C2,0.737328,0.483505
C2,0.732652,0.516784
C2,0.739062,0.521701
C2,0.726557,0.518286
C2,0.726083,0.524107
C2,0.717556,0.513175
C2,0.696367,0.506691
C2,0.686461,0.51663
C2,0.707612,0.510866
C2,0.687907,0.532389
C2,0.684567,0.494682
C2,0.675232,0.491625
C2,0.678745,0.481502
C2,0.683729,0.494064
C2,0.656393,0.485186
C2,0.655251,0.464693
C2,0.677333,0.492054
C2,0.648527,0.46845
C2,0.6522,0.48579
C2,0.640628,0.482021
C2,0.684466,0.480509
C2,0.658962,0.471887
C2,0.685479,0.466172
C2,0.694678,0.466805
C2,0.686048,0.468562
C2,0.681541,0.475315
C2,0.737769,0.444182
C2,0.734962,0.463937
C2,0.71597,0.452421
C2,0.741418,0.468489
C2,0.730817,0.460849
C2,0.741634,0.44173
C2,0.743172,0.446216
C2,0.780103,0.463633
C2,0.741709,0.464351
C2,0.753793,0.46973
C2,0.769205,0.490868
C2,0.757084,0.464728
C2,0.790743,0.499628
C2,0.780711,0.503797
C2,0.774828,0.493434
C2,0.777822,0.506728
C2,0.765433,0.481214
C2,0.763322,0.495252
C2,0.746458,0.510521
C2,0.771038,0.503887
C2,0.730182,0.527492
C2,0.735135,0.520331
C2,0.728409,0.508167
C2,0.713393,0.515307
C2,0.679644,0.521993
C2,0.680837,0.533367
C2,0.690542,0.510113
C2,0.679152,0.551689
C2,0.659695,0.538609
C2,0.658911,0.550552
C2,0.667747,0.521216
C2,0.687191,0.519209
C2,0.648654,0.538801
C2,0.630955,0.49517
C2,0.650204,0.518849
C2,0.639455,0.540066
C2,0.623319,0.490246
