Class,x,y
C6,0.788686,0.882572
C6,0.766091,0.892741
C6,0.790341,0.871053
C6,0.791144,0.840028
C6,0.776115,0.854389
C6,0.771025,0.826868
C6,0.728074,0.875468
C6,0.733051,0.858394
C6,0.751956,0.792813
C6,0.710959,0.81094
C6,0.750367,0.775276
C6,0.729905,0.758604
C6,0.708109,0.71084
C6,0.743178,0.722672
C6,0.770652,0.678601
C6,0.758738,0.714648
C6,0.755911,0.665349
C6,0.732211,0.679612
C6,0.782898,0.705281
C6,0.811688,0.67205
C6,0.84516,0.735337
C6,0.887947,0.672488
C6,0.884183,0.770434
C6,0.854438,0.73657
C6,0.862302,0.762222
C6,0.862113,0.767699
C6,0.874772,0.804079
C6,0.899599,0.790896
C6,0.86643,0.860191
C6,0.85425,0.812976
C6,0.81792,0.867095
C6,0.849531,0.845272
C6,0.80668,0.870528
C6,0.792966,0.877567
C6,0.787342,0.846706
C6,0.805848,0.874066
C6,0.737804,0.84919
C6,0.760617,0.862789
C6,0.712453,0.807901
C6,0.701203,0.824465
C6,0.70682,0.781344
C6,0.710557,0.823806
C6,0.673187,0.759146
C6,0.71792,0.764991
C6,0.707654,0.755986
C6,0.716676,0.737513
C6,0.73742,0.699836
C6,0.739245,0.716737
C6,0.725254,0.68635
C6,0.794581,0.686455
C6,0.842488,0.690909
C6,0.815451,0.681862
C6,0.871931,0.698533
C6,0.835271,0.6918
C6,0.890257,0.704594
C6,0.860914,0.736345
C6,0.888106,0.764865
C6,0.897464,0.795342
C6,0.851446,0.795095
C6,0.854071,0.798755
C6,0.888439,0.83867
C6,0.832576,0.811275
C6,0.848586,0.786588
C6,0.794589,0.840463
C6,0.79508,0.835041
C6,0.804142,0.816632
C6,0.794163,0.766626
C6,0.768263,0.807935
C6,0.779012,0.748213
C6,0.766616,0.733218
C6,0.800011,0.717559
C6,0.851109,0.762308
C6,0.851048,0.709614
C6,0.848584,0.702707
C6,0.877434,0.778809
C6,0.852861,0.712262
C6,0.811913,0.760863
C6,0.843453,0.74876
C6,0.781101,0.752436
C6,0.828463,0.746471
C6,0.810325,0.761121
C6,0.807445,0.713381
C6,0.816164,0.72065
C6,0.819746,0.713562
C6,0.875302,0.726481
C6,0.851608,0.748574
C6,0.868747,0.732128
C6,0.864796,0.7537
C6,0.874866,0.781742
C6,0.859562,0.782333
C6,0.827566,0.818841
C6,0.793987,0.819685
C6,0.839604,0.802135
C6,0.786773,0.793987
C6,0.810314,0.783565
C6,0.811954,0.727694
C6,0.80514,0.733319
C6,0.826121,0.716109
C6,0.830642,0.725837
C6,0.82056,0.740482
C6,0.886326,0.75219
C6,0.842374,0.765654
C6,0.857422,0.791041
C6,0.873742,0.787994
C6,0.835602,0.750984
C6,0.841944,0.786608
C6,0.792208,0.80802
C6,0.811694,0.787067
C6,0.77941,0.722455
C6,0.777011,0.775015
C6,0.81659,0.715009
C6,0.806057,0.694048
C6,0.790057,0.693009
C6,0.806788,0.693261
C6,0.868538,0.712421
C6,0.866332,0.714292
C6,0.857461,0.697405
C6,0.850611,0.720715
C5,0.203932,0.264467
C5,0.18043,0.221078
C5,0.219995,0.267615
C5,0.208929,0.213174
C5,0.164951,0.237975
C5,0.189448,0.244739
C5,0.12263,0.192321
C5,0.11247,0.18941
C5,0.142188,0.162017
C5,0.101647,0.21064
C5,0.143542,0.171365
C5,0.12899,0.14955
C5,0.111158,0.133189
C5,0.150728,0.121191
C5,0.180764,0.108782
C5,0.13768,0.10512
C5,0.189076,0.131366
C5,0.200562,0.0918869
C5,0.263448,0.0602974
C5,0.248728,0.0731222
C5,0.243197,0.12268
C5,0.224853,0.101166
C5,0.313605,0.161776
C5,0.302393,0.135979
C5,0.287209,0.216182
C5,0.321702,0.195196
C5,0.30656,0.200455
C5,0.301122,0.220368
C5,0.241033,0.277813
C5,0.317646,0.261089
C5,0.258212,0.257413
C5,0.257049,0.282996
C5,0.233521,0.288479
C5,0.221589,0.264855
C5,0.241707,0.292934
C5,0.245709,0.308455
C5,0.222571,0.254653
C5,0.221704,0.301358
C5,0.15679,0.263705
C5,0.175471,0.248296
C5,0.153514,0.212527
C5,0.151469,0.190785
C5,0.15675,0.167536
C5,0.132118,0.182928
C5,0.125786,0.155498
C5,0.113509,0.133432
C5,0.129963,0.0953283
C5,0.150896,0.130741
C5,0.188979,0.101099
C5,0.159103,0.0846661
C5,0.205902,0.103002
C5,0.218568,0.0956245
C5,0.220589,0.0897212
C5,0.243363,0.122643
C5,0.272612,0.0702103
C5,0.234065,0.114077
C5,0.291358,0.148553
C5,0.311796,0.127511
C5,0.321439,0.134325
C5,0.306481,0.131946
C5,0.304424,0.195381
C5,0.308212,0.170132
C5,0.28197,0.256647
C5,0.283906,0.230402
C5,0.256966,0.249638
C5,0.266916,0.248634
C5,0.245695,0.286138
