Class,x,y
C1,0.221495,0.756883
C1,0.261225,0.766753
C1,0.263357,0.742309
C1,0.262243,0.772503
C1,0.217149,0.715974
C1,0.256894,0.742772
C1,0.240594,0.767246
C1,0.239834,0.774157
C1,0.236027,0.764093
C1,0.263827,0.702681
C1,0.258552,0.755625
C1,0.241329,0.743704
C1,0.275151,0.798862
C1,0.27105,0.758525
C1,0.243262,0.770083
C1,0.245344,0.777437
C1,0.209073,0.726867
C1,0.224434,0.769554
C1,0.217561,0.76596
C1,0.207341,0.767657
C1,0.215254,0.762599
C1,0.206491,0.737219
C1,0.22904,0.710814
C1,0.188511,0.733201
C1,0.228078,0.686465
C1,0.217554,0.718819
C1,0.163393,0.674812
C1,0.226582,0.682852
C1,0.218102,0.649891
C1,0.233402,0.686179
C1,0.225994,0.642841
C1,0.247581,0.725081
C1,0.250374,0.681678
C1,0.269681,0.656873
C1,0.263272,0.691109
C1,0.266316,0.659109
C1,0.273402,0.655153
C1,0.294573,0.738602
C1,0.296013,0.754286
C1,0.251214,0.688803
C1,0.274881,0.732367
C1,0.252733,0.744129
C1,0.28097,0.763063
C1,0.295823,0.812517
C1,0.257276,0.762412
C1,0.273261,0.756304
C1,0.264166,0.772398
C1,0.272928,0.790011
C1,0.226527,0.741194
C1,0.167845,0.730799
C1,0.170825,0.764295
C1,0.189087,0.765896
C1,0.154018,0.706743
C1,0.182067,0.722654
C1,0.157622,0.683043
C1,0.155791,0.705485
C1,0.157695,0.68399
C1,0.154782,0.720816
C1,0.177044,0.703917
C1,0.226168,0.676346
C1,0.198708,0.671897
C1,0.231576,0.698214
C1,0.25232,0.664964
C1,0.210479,0.666431
C1,0.251983,0.640493
C1,0.290723,0.686907
C1,0.290064,0.669987
C1,0.301653,0.685933
C1,0.308514,0.677488
C1,0.273828,0.681157
C1,0.265558,0.705948
C1,0.269393,0.742825
C1,0.26091,0.766979
C1,0.21331,0.762838
C1,0.310885,0.780912
C1,0.265486,0.813798
C1,0.235236,0.777087
C1,0.227504,0.792575
C1,0.187957,0.806154
C1,0.276666,0.767928
C1,0.213426,0.774082
C1,0.248573,0.789373
C1,0.181778,0.759073
C1,0.22087,0.757691
C1,0.15545,0.756834
C1,0.18251,0.745849
C1,0.204812,0.684305
C1,0.131253,0.742999
C1,0.197961,0.678541
C1,0.183658,0.719228
C1,0.202234,0.709214
C1,0.197738,0.686693
C1,0.186046,0.709164
C1,0.20341,0.697946
C1,0.194691,0.647407
C1,0.245361,0.66864
C1,0.22808,0.674976
C1,0.263055,0.673154
C1,0.275672,0.701992
C1,0.298843,0.676269
C1,0.263319,0.730142
C1,0.307473,0.693205
C1,0.289784,0.717175
C1,0.292241,0.702217
C1,0.290635,0.709748
C1,0.272273,0.703026
C1,0.264184,0.7492
C1,0.293491,0.693156
C1,0.313328,0.694961
C1,0.275657,0.724328
C1,0.279134,0.768336
C1,0.275443,0.731415
C1,0.262339,0.748179
C1,0.253228,0.740385
C1,0.237154,0.741327
C1,0.276115,0.763501
C1,0.232975,0.752606
C1,0.226378,0.778877
C1,0.189714,0.723222
C1,0.204834,0.740616
C1,0.180039,0.719035
C1,0.144519,0.730143
C1,0.17914,0.659121
C1,0.162053,0.727695
C1,0.201248,0.685393
C1,0.159158,0.7048
C1,0.16066,0.670381
C1,0.200815,0.684024
C1,0.217919,0.709621
C1,0.286627,0.688115
C1,0.27973,0.678211
C1,0.263132,0.652415
C1,0.26357,0.629119
C1,0.280672,0.718498
C1,0.290474,0.719187
C1,0.312923,0.691881
C1,0.285204,0.729851
C1,0.323619,0.71947
C1,0.321982,0.684568
C1,0.277944,0.740941
C1,0.290039,0.69283
C1,0.303421,0.689987
C1,0.277701,0.725865
C1,0.278461,0.731859
C1,0.308271,0.72861
C1,0.217898,0.734598
C1,0.305442,0.716104
C1,0.27192,0.722147
C1,0.263179,0.786382
C1,0.292122,0.773812
C1,0.240897,0.787789
C1,0.263598,0.78183
C1,0.230167,0.809954
C1,0.239401,0.728648
C1,0.192262,0.756861
C1,0.182828,0.766581
C1,0.185386,0.751298
C1,0.208405,0.758105
C1,0.170831,0.781143
C1,0.21189,0.763912
C1,0.186601,0.770543
C1,0.193635,0.799619
C1,0.178595,0.773737
C1,0.157598,0.746693
C1,0.157689,0.747381
C1,0.186437,0.747841
C1,0.152183,0.788242
C1,0.150892,0.763006
C1,0.159587,0.740896
C1,0.165585,0.71725
C1,0.218408,0.698784
C1,0.189282,0.709855
C1,0.185589,0.705418
C1,0.194499,0.701888
C1,0.250912,0.701139
C1,0.241473,0.679906
C1,0.199225,0.710862
C1,0.202177,0.697809
C1,0.273043,0.714042
C1,0.229626,0.654418
C1,0.287953,0.726746
C1,0.325067,0.711529
C1,0.307581,0.692524
C1,0.276494,0.716317
C1,0.335467,0.693479
C1,0.341057,0.711591
C1,0.31436,0.712391
C1,0.294209,0.759781
C1,0.298564,0.756611
C1,0.299996,0.756847
C1,0.326675,0.742784
C1,0.315232,0.739528
C1,0.299862,0.734582
C1,0.327384,0.795925
C1,0.306949,0.760647
C1,0.288739,0.734597
C1,0.233085,0.797897
C1,0.280287,0.755268
C1,0.270736,0.757689
C1,0.253008,0.777233
C1,0.228091,0.783915
C1,0.21871,0.810583
C1,0.229036,0.788966
C1,0.184095,0.790567
C1,0.196258,0.769269
C1,0.192056,0.753343
C1,0.188128,0.787909
C1,0.194172,0.769987
C1,0.222836,0.758414
C1,0.164051,0.771593
C1,0.168257,0.733702
C1,0.179031,0.755263
C1,0.180381,0.698482
C1,0.160382,0.722331
C1,0.222435,0.693628
C1,0.201041,0.675971
C1,0.17972,0.655336
C1,0.170332,0.659677
C1,0.206087,0.666508
C1,0.195526,0.714539
C1,0.198188,0.692725
C1,0.239427,0.659037
C1,0.287702,0.703325
C1,0.211457,0.687698
C1,0.297915,0.665733
C1,0.272579,0.727131
C1,0.304461,0.678275
C1,0.275783,0.674467
C2,0.733197,0.58749
C2,0.763441,0.580131
C2,0.732996,0.608999
C2,0.747234,0.589962
C2,0.740143,0.58139
C2,0.737835,0.588703
C2,0.737469,0.590587
C2,0.729221,0.580143
C2,0.735132,0.563881
C2,0.676545,0.560948
C2,0.69842,0.532824
C2,0.677496,0.58364
C2,0.703019,0.54293
