Class,x,y
C1,0.228716,0.795282
C1,0.208563,0.822588
C1,0.199137,0.794277
C1,0.173962,0.83929
C1,0.202179,0.744047
C1,0.168326,0.755183
C1,0.104668,0.757113
C1,0.183527,0.739268
C1,0.167522,0.733045
C1,0.148196,0.734499
C1,0.21147,0.705818
C1,0.142005,0.722875
C1,0.222919,0.660856
C1,0.227857,0.668525
C1,0.203162,0.703999
C1,0.18038,0.626011
C1,0.251413,0.669348
C1,0.294775,0.736196
C1,0.282403,0.754539
C1,0.281034,0.701855
C1,0.291795,0.806612
C1,0.26244,0.782713
C1,0.28561,0.717481
C1,0.276739,0.781459
C1,0.251832,0.805383
C1,0.230778,0.802352
C1,0.220029,0.796996
C1,0.211584,0.835827
C1,0.198729,0.823773
C1,0.186248,0.817084
C1,0.233123,0.818096
C1,0.172764,0.783065
C1,0.134473,0.804331
C1,0.165975,0.786226
C1,0.128099,0.775069
C1,0.132966,0.757736
C1,0.158313,0.718217
C1,0.118671,0.721567
C1,0.140689,0.70979
C1,0.157108,0.722537
C1,0.147116,0.691451
C1,0.157668,0.705077
C1,0.155446,0.663804
C1,0.1792,0.63727
C1,0.203223,0.703049
C1,0.147893,0.689296
C1,0.200924,0.668462
C1,0.176127,0.613561
C1,0.240448,0.634421
C1,0.209434,0.672963
C1,0.230769,0.645975
C1,0.230711,0.620424
C1,0.308545,0.605649
C1,0.240061,0.611936
C1,0.275157,0.601841
C1,0.336709,0.652456
C1,0.309699,0.659184
C1,0.307425,0.689937
C1,0.376467,0.679854
C1,0.373829,0.687103
C1,0.355445,0.705825
C1,0.352889,0.695085
C1,0.357967,0.708064
C1,0.337993,0.736289
C1,0.318795,0.724269
C1,0.374134,0.764149
C1,0.345891,0.772349
C1,0.354287,0.752587
C1,0.368701,0.758738
C1,0.331326,0.805734
C1,0.295225,0.835333
C1,0.357228,0.8211
C1,0.244161,0.821213
C1,0.277415,0.775175
C1,0.274416,0.845889
C1,0.285746,0.83706
C1,0.190554,0.781608
C1,0.205798,0.754783
C1,0.230707,0.752413
C1,0.205914,0.73226
C1,0.227829,0.775724
C1,0.268628,0.693083
C1,0.263345,0.724253
C1,0.198358,0.720155
C1,0.24198,0.747151
C1,0.204105,0.76689
C1,0.253085,0.705234
C1,0.275013,0.701997
C1,0.231625,0.754648
C1,0.190287,0.751721
C1,0.212284,0.713066
C1,0.239174,0.743417
C1,0.243166,0.751044
C1,0.264278,0.789754
C1,0.25925,0.771829
C1,0.263574,0.80139
C1,0.252949,0.780603
C1,0.242147,0.772723
C1,0.216439,0.798771
C1,0.176711,0.766792
C1,0.198777,0.744398
C1,0.175478,0.756416
C1,0.221371,0.741822
C1,0.202407,0.749383
C1,0.185928,0.675523
C1,0.184971,0.736567
C1,0.214169,0.685493
C1,0.170908,0.739331
C1,0.179807,0.671357
C1,0.195796,0.65819
C1,0.231334,0.702387
C1,0.197338,0.684421
C1,0.214718,0.655981
C1,0.251503,0.660019
C1,0.225363,0.647869
C1,0.273718,0.669223
C1,0.227002,0.678196
C1,0.23057,0.627866
C1,0.229456,0.642056
C1,0.173839,0.630462
C1,0.209644,0.608775
C1,0.164584,0.665699
C1,0.194716,0.666345
C1,0.192962,0.663367
C1,0.173791,0.647831
C1,0.14219,0.670378
C1,0.178852,0.689138
C1,0.175632,0.695116
C1,0.137664,0.719519
C1,0.146971,0.689684
C1,0.176565,0.646397
C1,0.168858,0.725543
C1,0.157229,0.680155
C1,0.144695,0.728521
C1,0.121356,0.712789
C1,0.13134,0.733379
C1,0.124715,0.715297
C1,0.186336,0.730395
C1,0.199597,0.722739
C1,0.130749,0.757769
C1,0.16598,0.692353
C1,0.180433,0.732896
C1,0.156094,0.664059
C1,0.145451,0.696906
