Class,x,y
C1,0.191605,0.389285
C1,0.113019,0.43667
C1,0.142192,0.469994
C1,0.154283,0.498494
C1,0.21144,0.452224
C1,0.100025,0.45395
C1,0.159251,0.452239
C1,0.190021,0.466038
C1,0.154016,0.503528
C1,0.167223,0.48762
C1,0.165099,0.495456
C1,0.184686,0.539029
C1,0.265106,0.551415
C1,0.185287,0.493237
C1,0.159454,0.515648
C1,0.198361,0.534193
C1,0.205383,0.561574
C1,0.201536,0.554344
C1,0.242209,0.544389
C1,0.155315,0.53686
C1,0.220627,0.580223
C1,0.18751,0.574978
C1,0.162745,0.527082
C1,0.247039,0.528774
C1,0.260581,0.63644
C1,0.179766,0.604123
C1,0.222974,0.568573
C1,0.206797,0.588533
C1,0.237845,0.613394
C1,0.23471,0.641647
C1,0.207544,0.566536
C1,0.254077,0.597088
C1,0.257325,0.668322
C1,0.216139,0.605835
C1,0.302702,0.636917
C1,0.243004,0.639162
C1,0.299234,0.633216
C1,0.219667,0.662242
C1,0.261076,0.686889
C1,0.293473,0.669467
C1,0.23136,0.710256
C1,0.321638,0.731439
C1,0.300768,0.638594
C1,0.271616,0.659588
C1,0.320067,0.731959
C1,0.256235,0.734957
C1,0.252379,0.706558
C1,0.283229,0.711697
C1,0.304888,0.756189
C1,0.248669,0.761334
C1,0.321696,0.762352
C1,0.272507,0.778735
C1,0.331452,0.786579
C1,0.301313,0.799585
C1,0.325945,0.793108
C1,0.31776,0.796351
C1,0.357014,0.819946
C1,0.325898,0.855637
C1,0.315112,0.834569
C1,0.273981,0.768652
C1,0.29679,0.826625
C1,0.389131,0.836301
C1,0.306051,0.814817
C1,0.322594,0.882222
C1,0.293239,0.837622
C1,0.324297,0.820067
C1,0.400274,0.819835
C1,0.277194,0.841584
C1,0.412335,0.860175
C1,0.323788,0.858076
C1,0.349071,0.839821
C1,0.399759,0.845509
C1,0.385448,0.912852
C1,0.342128,0.858137
C1,0.348058,0.864434
C1,0.374313,0.903132
C1,0.321393,0.852907
C1,0.367442,0.914701
C1,0.400672,0.927921
C1,0.419968,0.879908
C1,0.447587,0.867349
C1,0.331144,0.909861
C1,0.334268,0.871796
C1,0.351814,0.929224
C1,0.379799,0.921529
C1,0.343784,0.886438
C1,0.406163,0.87712
C1,0.364122,0.866504
C1,0.385354,0.909092
C1,0.384854,0.961355
C1,0.362582,0.935034
C1,0.372345,0.86692
C1,0.390467,0.89303
C1,0.346423,0.876297
C1,0.337641,0.834397
C1,0.405058,0.823273
C1,0.351918,0.814181
C1,0.315577,0.848976
C1,0.337312,0.788191
C1,0.298112,0.784308
C1,0.26808,0.780953
C1,0.370285,0.810792
C1,0.296064,0.716712
C1,0.356941,0.77599
C1,0.236507,0.716732
C1,0.33617,0.705487
C1,0.239905,0.715976
C1,0.292562,0.743968
C1,0.366678,0.663085
C1,0.267064,0.706949
C1,0.270792,0.708532
C1,0.3201,0.732964
C1,0.301884,0.686755
C1,0.259917,0.69038
C1,0.265009,0.699915
C1,0.286364,0.653434
C1,0.264179,0.622422
C1,0.284941,0.686187
C1,0.288903,0.649041
C1,0.307869,0.68198
C1,0.220045,0.636866
C1,0.299092,0.63768
C1,0.188929,0.601465
C1,0.310501,0.613318
C1,0.231119,0.605884
C1,0.203973,0.654317
C1,0.180523,0.627765
C1,0.187875,0.646867
C1,0.177794,0.611135
C1,0.184264,0.567651
C1,0.237365,0.576198
C1,0.189813,0.540791
C1,0.227759,0.551205
C1,0.194139,0.514169
C1,0.170729,0.543311
C1,0.18146,0.553732
C1,0.1677,0.515827
C1,0.248777,0.488233
C1,0.194429,0.480823
C1,0.154527,0.52296
C1,0.170244,0.455281
C1,0.201977,0.50979
C1,0.147097,0.479374
C1,0.174662,0.452717
C1,0.230006,0.486583
C1,0.153193,0.575036
C1,0.199251,0.484818
C1,0.121083,0.5399
C1,0.164558,0.473718
C1,0.184589,0.450664
C1,0.177274,0.48383
C1,0.254969,0.461482
C1,0.180393,0.460748
C1,0.167378,0.422486
C1,0.144943,0.470749
C1,0.197699,0.461415
C1,0.149386,0.445515
C1,0.184254,0.445764
C1,0.202615,0.442642
C1,0.175318,0.471218
C1,0.155791,0.442973
C1,0.13071,0.414495
C1,0.168508,0.363526
C1,0.134912,0.422523
C1,0.131578,0.410712
C1,0.183422,0.399988
C1,0.202905,0.439449
C1,0.154057,0.447845
C1,0.227463,0.459709
C1,0.111424,0.400249
C1,0.132978,0.393826
C1,0.156051,0.419581
C1,0.122425,0.376947
C1,0.171804,0.431285
C1,0.118244,0.372801
C1,0.139783,0.390654
C1,0.169423,0.393912
C1,0.148715,0.422185
C1,0.136925,0.477804
C1,0.151705,0.42157
C1,0.195084,0.509561
C1,0.16435,0.547544
C1,0.154456,0.537252
C1,0.193207,0.471811
C1,0.195787,0.512667
C1,0.179838,0.534664
C1,0.168885,0.469004
C1,0.158411,0.512038
C1,0.18864,0.521342
C1,0.221559,0.564011
C1,0.169431,0.534016
C1,0.214687,0.531495
C1,0.20239,0.596449
C1,0.189435,0.622393
C1,0.220751,0.578345
C1,0.155047,0.554579
C1,0.230005,0.618598
C1,0.224179,0.66858
C1,0.143524,0.61321
C1,0.145047,0.566991
C1,0.172111,0.645309
C1,0.150102,0.627631
C1,0.249236,0.660274
C1,0.188491,0.633184
C1,0.176411,0.683924
C1,0.193775,0.645561
C1,0.233394,0.670726
C1,0.225279,0.636454
C1,0.205165,0.652046
C1,0.214308,0.625401
C1,0.263114,0.6545
C1,0.208569,0.658141
C1,0.215949,0.654407
C1,0.208098,0.693439
C1,0.232561,0.67378
C1,0.236536,0.72828
C1,0.221795,0.687969
C1,0.231237,0.679277
C1,0.213713,0.709676
C1,0.231537,0.671615
C1,0.249434,0.754721
C1,0.234299,0.76018
C1,0.218995,0.722157
C1,0.1862,0.699784
C1,0.250994,0.704461
C1,0.253788,0.725429
C1,0.336472,0.705513
C1,0.261279,0.775201
C1,0.259867,0.75759
C1,0.258621,0.797968
C1,0.269383,0.752218
C1,0.291352,0.755686
C1,0.259062,0.771827
C1,0.277326,0.781433
C1,0.265269,0.78536
C1,0.303467,0.799024
C1,0.297861,0.77536
C1,0.298903,0.736545
C1,0.312285,0.812992
C1,0.239226,0.755715
C1,0.31035,0.845948
C1,0.267283,0.779195
C1,0.334717,0.822782
C1,0.308119,0.814036
C1,0.343051,0.82347
C1,0.288518,0.807826
C1,0.298051,0.881593
C1,0.258401,0.84414
C1,0.309543,0.875424
C1,0.335876,0.85228
C1,0.342136,0.795057
C1,0.330118,0.832454
C1,0.332802,0.828361
C1,0.360836,0.851414
C1,0.360071,0.852099
C1,0.339609,0.838145
C1,0.306584,0.89135
C1,0.357572,0.881027
C1,0.382506,0.798176
C1,0.368214,0.846476
C1,0.403883,0.888013
C1,0.356076,0.871172
C1,0.380201,0.849654
C1,0.36334,0.855062
C1,0.405631,0.94938
C1,0.321422,0.917297
C1,0.386864,0.895338
C1,0.382682,0.851561
C1,0.439506,0.930026
C1,0.377701,0.906058
C1,0.369274,0.929159
C1,0.361494,0.915086
C1,0.419262,0.954825
C1,0.341428,0.882537
C1,0.409607,0.879467
C1,0.406383,0.91682
C1,0.404164,0.951213
C1,0.368362,0.891979
C1,0.394215,0.940611
C1,0.383118,0.923946
C1,0.394757,0.888693
C1,0.353942,0.918734
C1,0.371981,0.809523
C1,0.362719,0.813348
C1,0.407824,0.823619
C1,0.395953,0.857783
C1,0.431983,0.835693
C1,0.378064,0.798124
C1,0.365817,0.843428
C1,0.439257,0.820513
C1,0.354389,0.745841
C1,0.418523,0.782625
C1,0.396728,0.746889
C1,0.391806,0.753819
C1,0.376531,0.785295
C1,0.38944,0.76687
C1,0.404914,0.7368
C1,0.40688,0.701022
C1,0.363856,0.711575
C1,0.422599,0.74406
C1,0.355769,0.760963
C1,0.340288,0.673006
C1,0.405857,0.795488
C1,0.351152,0.721725
C1,0.340993,0.600745
C1,0.429489,0.722234
C1,0.352687,0.651369
C1,0.351237,0.669614
C1,0.273333,0.577459
C1,0.365702,0.621085
C1,0.376352,0.668512
C1,0.340497,0.648164
C1,0.34057,0.589673
C1,0.292635,0.591951
