Pinguinart,Insel,NestVoll_2Eier,Schnabellaenge,Schnabelhoehe,Flossenlaenge,Gewicht,Geschlecht,VerhaeltnisIsotope13N_12N,VerhaeltnisIsotope15N_14N
Adelie,Torgersen,True,39.5,17.4,186.0,3800,weiblich,8.94956,-24.69454
Adelie,Torgersen,True,40.3,18.0,195.0,3250,weiblich,8.36821,-25.33302
Adelie,Torgersen,True,36.7,19.3,193.0,3450,weiblich,8.76651,-25.32426
Adelie,Torgersen,True,39.3,20.6,190.0,3650,maennlich,8.66496,-25.29805
Adelie,Torgersen,False,38.9,17.8,181.0,3625,weiblich,9.18718,-25.21799
Adelie,Torgersen,False,39.2,19.6,195.0,4675,maennlich,9.4606,-24.89958
Adelie,Torgersen,True,34.6,21.1,198.0,4400,maennlich,8.55583,-25.22588
Adelie,Torgersen,True,38.7,19.0,195.0,3450,weiblich,9.18528,-25.06691
Adelie,Torgersen,True,42.5,20.7,197.0,4500,maennlich,8.67538,-25.13993
Adelie,Torgersen,True,34.4,18.4,184.0,3325,weiblich,8.47827,-25.23319
Adelie,Torgersen,True,46.0,21.5,194.0,4200,maennlich,9.11616,-24.77227
Adelie,Biscoe,True,37.8,18.3,174.0,3400,weiblich,8.73762,-25.09383
Adelie,Biscoe,True,37.7,18.7,180.0,3600,maennlich,8.66271,-25.0639
Adelie,Biscoe,True,35.9,19.2,189.0,3800,weiblich,9.22286,-25.03474
Adelie,Biscoe,True,38.2,18.1,185.0,3950,maennlich,8.43423,-25.22664
Adelie,Biscoe,True,38.8,17.2,180.0,3800,maennlich,9.63954,-25.29856
Adelie,Biscoe,True,35.3,18.9,187.0,3800,weiblich,9.21292,-24.3613
Adelie,Biscoe,True,40.6,18.6,183.0,3550,maennlich,8.93997,-25.36288
Adelie,Biscoe,True,40.5,17.9,187.0,3200,weiblich,8.08138,-25.49448
Adelie,Biscoe,False,37.9,18.6,172.0,3150,weiblich,8.38404,-25.19837
Adelie,Biscoe,False,40.5,18.9,180.0,3950,maennlich,8.90027,-25.11609
Adelie,Dream,True,39.5,16.7,178.0,3250,weiblich,9.69756,-25.11223
Adelie,Dream,True,37.2,18.1,178.0,3900,maennlich,9.72764,-25.0102
Adelie,Dream,True,39.5,17.8,188.0,3300,weiblich,9.66523,-25.0602
Adelie,Dream,True,40.9,18.9,184.0,3900,maennlich,8.79665,-25.14591
Adelie,Dream,True,36.4,17.0,195.0,3325,weiblich,9.17847,-25.23061
Adelie,Dream,True,39.2,21.1,196.0,4150,maennlich,9.15308,-25.03469
Adelie,Dream,True,38.8,20.0,190.0,3950,maennlich,9.18985,-25.12255
Adelie,Dream,True,42.2,18.5,180.0,3550,weiblich,8.04787,-25.49523
Adelie,Dream,False,37.6,19.3,181.0,3300,weiblich,9.41131,-25.04169
Adelie,Dream,True,36.5,18.0,182.0,3150,weiblich,9.68933,-24.4228
Adelie,Dream,True,36.0,18.5,186.0,3100,weiblich,9.50772,-25.03492
Adelie,Dream,True,44.1,19.7,196.0,4400,maennlich,9.2372,-24.52698
Adelie,Dream,True,37.0,16.9,185.0,3000,weiblich,9.36392,-25.01745
Adelie,Dream,True,39.6,18.8,190.0,4600,maennlich,9.49106,-24.10255
Adelie,Dream,True,36.0,17.9,190.0,3450,weiblich,9.51784,-25.07683
Adelie,Dream,True,42.3,21.2,191.0,4150,maennlich,8.87988,-25.18543
Adelie,Biscoe,True,39.6,17.7,186.0,3500,weiblich,8.46616,-26.12989
Adelie,Biscoe,True,40.1,18.9,188.0,4300,maennlich,8.51362,-26.55602
Adelie,Biscoe,True,35.0,17.9,190.0,3450,weiblich,8.19539,-26.17213
Adelie,Biscoe,True,42.0,19.5,200.0,4050,maennlich,8.48095,-26.3146
Adelie,Biscoe,True,34.5,18.1,187.0,2900,weiblich,8.41837,-26.54718
Adelie,Biscoe,True,41.4,18.6,191.0,3700,maennlich,8.35396,-26.27853
Adelie,Biscoe,True,39.0,17.5,186.0,3550,weiblich,8.57199,-26.07188
Adelie,Biscoe,True,40.6,18.8,193.0,3800,maennlich,8.56674,-25.98843
Adelie,Biscoe,True,36.5,16.6,181.0,2850,weiblich,9.07878,-25.88156
Adelie,Biscoe,True,37.6,19.1,194.0,3750,maennlich,9.108,-25.89677
Adelie,Biscoe,True,35.7,16.9,185.0,3150,weiblich,8.96472,-26.40943
Adelie,Biscoe,True,41.3,21.1,195.0,4400,maennlich,8.74802,-26.37809
Adelie,Biscoe,True,37.6,17.0,185.0,3600,weiblich,8.58063,-26.21569
Adelie,Biscoe,True,41.1,18.2,192.0,4050,maennlich,8.62264,-26.60023
