Class,x,y
C1,0.472645,0.511279
C1,0.415164,0.405992
C1,0.444547,0.480488
C1,0.389216,0.482874
C1,0.456737,0.48939
C1,0.351566,0.527394
C1,0.35627,0.491791
C1,0.411138,0.558233
C1,0.607271,0.560877
C1,0.470294,0.594821
C1,0.438687,0.620963
C1,0.482113,0.542891
C1,0.345663,0.503549
C1,0.271812,0.487802
C1,0.225803,0.451701
C1,0.273741,0.477627
C1,0.317722,0.470619
C1,0.305667,0.414279
C1,0.260088,0.478402
C1,0.259212,0.475656
C1,0.262117,0.502553
C1,0.25658,0.456535
C1,0.258676,0.480815
C1,0.248655,0.408241
C1,0.269198,0.504822
C1,0.236997,0.436975
C1,0.224902,0.413788
C1,0.224661,0.46341
C1,0.205484,0.57
C1,0.212331,0.524933
C1,0.189756,0.536556
C1,0.213475,0.531921
C1,0.196091,0.555141
C1,0.161541,0.530831
C1,0.188712,0.564965
C1,0.245157,0.597932
C1,0.192714,0.587979
C1,0.137873,0.561322
C1,0.191899,0.563405
C1,0.223622,0.62048
C1,0.214509,0.605922
C1,0.201652,0.596377
C1,0.189396,0.61204
C1,0.226487,0.698088
C1,0.222069,0.649781
C1,0.213537,0.652872
C1,0.178894,0.644601
C1,0.173288,0.606715
C1,0.12718,0.659214
C1,0.180124,0.663559
C1,0.116486,0.697822
C1,0.164425,0.645437
C1,0.158556,0.705581
C1,0.132797,0.721242
C1,0.162634,0.681285
C1,0.189184,0.716617
C1,0.142016,0.713188
C1,0.154858,0.674343
C1,0.172987,0.688839
C1,0.179068,0.691769
C1,0.0458193,0.699449
C1,0.0786995,0.734831
C1,0.0794013,0.695926
C1,0.0955709,0.73399
C1,0.129004,0.780306
C1,0.114021,0.738385
C1,0.1003,0.728605
C1,0.174258,0.724983
C1,0.140217,0.781017
C1,0.1116,0.709322
C1,0.125174,0.714784
C1,0.100634,0.75848
C1,0.0978881,0.783232
C1,0.0948724,0.782908
C1,0.116311,0.789191
C1,0.0987049,0.812344
C1,0.0947131,0.768559
C1,0.113149,0.782135
C1,0.102086,0.74802
C1,0.102271,0.791367
C1,0.114354,0.850859
C1,0.0559556,0.776326
C1,0.0578573,0.772842
C1,0.140786,0.842965
C1,0.137964,0.843702
C1,0.0619291,0.845566
C1,0.0907305,0.821984
C1,0.0936078,0.819661
C1,0.121529,0.831865
C1,0.10693,0.816689
C1,0.0407989,0.82384
C1,0.0986928,0.864383
C1,0.0539426,0.853619
C1,0.156212,0.844752
C1,0.147212,0.904834
C1,0.0595459,0.864148
C1,0.0730712,0.900126
C1,0.069108,0.888126
C1,0.116993,0.875002
C1,0.141432,0.873229
C1,0.0511756,0.848379
C1,0.113188,0.914106
C1,0.0764337,0.913363
C1,0.0618263,0.836435
C1,0.10652,0.968171
C1,0.0913573,0.961139
C1,0.0894457,0.861851
C1,0.0722051,0.957066
C1,0.131803,0.938644
C1,0.102057,0.894027
C1,0.110375,0.882503
C1,0.15519,0.850615
C1,0.106735,0.950897
C1,0.0708723,0.948854
C1,0.114764,0.884713
C1,0.136025,0.944347
C1,0.144544,0.857649
C1,0.0854226,0.908287
C1,0.114357,0.891186
C1,0.138147,0.904769
C1,0.129356,0.95864
C1,0.0638357,0.931798
C1,0.0790801,0.97131
C1,0.145122,0.975744
C1,0.126147,0.866237
C1,0.108584,0.959266
C1,0.117541,0.925264
C1,0.0860627,0.887048
C1,0.1745,0.957382
C1,0.166274,0.917712
C1,0.155642,0.943832
C1,0.222397,0.914618
C1,0.261433,0.958706
C1,0.281123,0.889086
C1,0.207595,0.929696
C1,0.236201,0.938623
C1,0.220686,0.930002
C1,0.244148,0.95714
C1,0.297685,0.962904
C1,0.282803,0.95486
C1,0.351695,0.955202
C1,0.28902,0.910383
C1,0.332545,0.923065
C1,0.325192,0.899519
C1,0.398596,0.89926
C1,0.335276,0.948869
C1,0.356832,0.938046
C1,0.349528,0.947975
C1,0.325191,0.945428
C1,0.343189,0.948128
C1,0.385241,0.903607
C1,0.350795,0.907886
C1,0.397457,0.909151
C1,0.31197,0.895608
C1,0.294002,0.930225
C1,0.429645,0.940484
C1,0.369078,0.93001
C1,0.354092,0.928532
C1,0.349616,0.911991
C1,0.3836,0.983833
C1,0.401111,0.913399
C1,0.386257,0.945684
C1,0.333079,0.9131
C1,0.445362,0.930075
C1,0.505209,0.929056
C1,0.493742,0.962261
C1,0.477626,0.957956
C1,0.477104,0.896171
C1,0.49009,0.910498
C1,0.493114,0.947752
C1,0.530584,0.919644
C1,0.574934,0.902655
C1,0.612699,0.889348
C1,0.564965,0.949982
C1,0.565978,0.958821
C1,0.53822,0.898761
C1,0.573586,0.95521
C1,0.591213,0.971405
C1,0.566346,0.954182
C1,0.605799,0.949097
C1,0.596426,0.990826
C1,0.6073,0.892701
C1,0.592393,0.902926
C1,0.614617,0.951719
C1,0.624414,0.918429
C1,0.61403,0.91331
C1,0.553163,0.944447
C1,0.678186,0.93716
C1,0.66523,0.932833
C1,0.642774,0.941926
C1,0.712303,0.909705
C1,0.704731,0.940533
C1,0.709596,0.933722
C1,0.65869,0.909261
C1,0.715785,0.895117
C1,0.712916,0.95887
C1,0.754671,0.931584
C1,0.719593,0.906702
C1,0.687558,0.933051
C1,0.74806,0.921743
C1,0.787608,0.94349
C1,0.785061,0.938786
C1,0.76705,0.879591
C1,0.812175,0.95343
C1,0.801848,0.981474
C1,0.827851,0.948867
C1,0.818804,0.962486
C1,0.821826,0.913388
C1,0.806408,0.90613
C1,0.8748,0.899117
C1,0.817371,0.96274
C1,0.812186,0.914706
C1,0.911434,0.932052
C1,0.775429,0.975167
C1,0.817805,0.921391
C1,0.876923,0.929381
C1,0.818334,0.96237
C1,0.840258,0.947274
C1,0.930399,0.9886
C1,0.849015,0.916742
